,日付,始値,高値,安値,終値,売買高,修正後終値,信用売残,信用買残,信用倍率,逆日歩,日歩日数,貸株残,融資残
0,2023-08-31,6149.0,6318.0,6149.0,6304.0,2730100.0,6304.0,0.0,0.0,0.0,0,0,0.0,0.0
1,2023-08-30,6092.0,6158.0,6086.0,6140.0,1001400.0,6140.0,0.0,0.0,0.0,-,-,6400.0,44900.0
2,2023-08-29,6065.0,6128.0,6065.0,6121.0,1106000.0,6121.0,0.0,0.0,0.0,-,-,6400.0,44900.0
3,2023-08-28,6060.0,6073.0,5965.0,6022.0,1321900.0,6022.0,0.0,0.0,0.0,-,-,6400.0,52400.0
4,2023-08-25,6087.0,6105.0,6056.0,6071.0,704100.0,6071.0,88500.0,1727900.0,19.52,-,-,4100.0,48900.0
5,2023-08-24,6095.0,6134.0,6086.0,6101.0,689600.0,6101.0,0.0,0.0,0.0,-,-,2700.0,45400.0
6,2023-08-23,6081.0,6163.0,6070.0,6107.0,985800.0,6107.0,0.0,0.0,0.0,-,-,2700.0,47100.0
7,2023-08-22,6078.0,6098.0,6044.0,6066.0,566200.0,6066.0,0.0,0.0,0.0,-,-,100.0,47500.0
8,2023-08-21,6075.0,6116.0,6054.0,6089.0,662200.0,6089.0,0.0,0.0,0.0,-,-,100.0,47000.0
9,2023-08-18,6073.0,6093.0,6031.0,6050.0,797300.0,6050.0,79000.0,1763600.0,22.32,-,-,1100.0,47200.0
10,2023-08-17,6145.0,6174.0,6087.0,6122.0,947500.0,6122.0,0.0,0.0,0.0,-,-,1100.0,47000.0
11,2023-08-16,6112.0,6170.0,6085.0,6145.0,1106400.0,6145.0,0.0,0.0,0.0,-,-,4700.0,47300.0
12,2023-08-15,6100.0,6158.0,6057.0,6156.0,940900.0,6156.0,0.0,0.0,0.0,-,-,4700.0,47200.0
13,2023-08-14,6164.0,6200.0,6083.0,6091.0,1289400.0,6091.0,0.0,0.0,0.0,-,-,1100.0,47500.0
14,2023-08-10,6078.0,6165.0,6056.0,6164.0,1786000.0,6164.0,134400.0,1897400.0,14.12,-,-,7100.0,47300.0
15,2023-08-09,5977.0,6091.0,5945.0,6023.0,1528400.0,6023.0,0.0,0.0,0.0,-,-,600.0,49400.0
16,2023-08-08,5894.0,5980.0,5879.0,5975.0,1451900.0,5975.0,0.0,0.0,0.0,-,-,100.0,50600.0
17,2023-08-07,5835.0,5869.0,5792.0,5860.0,675000.0,5860.0,0.0,0.0,0.0,-,-,100.0,51200.0
18,2023-08-04,5800.0,5852.0,5791.0,5837.0,924600.0,5837.0,66700.0,2277400.0,34.14,-,-,11800.0,55300.0
19,2023-08-03,5875.0,5907.0,5830.0,5835.0,1389500.0,5835.0,0.0,0.0,0.0,-,-,100.0,55500.0
20,2023-08-02,5900.0,5997.0,5888.0,5924.0,2690100.0,5924.0,0.0,0.0,0.0,-,-,5000.0,52100.0
21,2023-08-01,5858.0,5899.0,5835.0,5899.0,1260500.0,5899.0,0.0,0.0,0.0,-,-,0.0,53200.0
22,2023-07-31,5845.0,5896.0,5814.0,5843.0,1336000.0,5843.0,0.0,0.0,0.0,-,-,0.0,54500.0
23,2023-07-28,5724.0,5799.0,5703.0,5781.0,1310000.0,5781.0,53000.0,2388100.0,45.06,0,0,0.0,0.0
24,2023-07-27,5750.0,5769.0,5723.0,5767.0,993500.0,5767.0,0.0,0.0,0.0,0,0,0.0,0.0
25,2023-07-21,0.0,0.0,0.0,0.0,0.0,0.0,64500.0,2378400.0,36.87,0,0,0.0,0.0
26,2023-07-14,0.0,0.0,0.0,0.0,0.0,0.0,67400.0,2307100.0,34.23,0,0,0.0,0.0
27,2023-07-07,0.0,0.0,0.0,0.0,0.0,0.0,77700.0,2114800.0,27.22,0,0,0.0,0.0
28,2023-06-30,0.0,0.0,0.0,0.0,0.0,0.0,68700.0,1895600.0,27.59,0,0,0.0,0.0
29,2023-06-23,0.0,0.0,0.0,0.0,0.0,0.0,82700.0,1840400.0,22.25,0,0,0.0,0.0
30,2023-06-16,0.0,0.0,0.0,0.0,0.0,0.0,68600.0,1957500.0,28.53,0,0,0.0,0.0
31,2023-06-09,0.0,0.0,0.0,0.0,0.0,0.0,77300.0,1892200.0,24.48,0,0,0.0,0.0
32,2023-06-02,0.0,0.0,0.0,0.0,0.0,0.0,72500.0,1979700.0,27.31,0,0,0.0,0.0
33,2023-05-26,0.0,0.0,0.0,0.0,0.0,0.0,115800.0,1822100.0,15.73,0,0,0.0,0.0
34,2023-05-19,0.0,0.0,0.0,0.0,0.0,0.0,128700.0,1789400.0,13.9,0,0,0.0,0.0
35,2023-05-12,0.0,0.0,0.0,0.0,0.0,0.0,164500.0,1662500.0,10.11,0,0,0.0,0.0
36,2023-04-28,0.0,0.0,0.0,0.0,0.0,0.0,122700.0,1967700.0,16.04,0,0,0.0,0.0
37,2023-04-21,0.0,0.0,0.0,0.0,0.0,0.0,162300.0,1967400.0,12.12,0,0,0.0,0.0
38,2023-04-14,0.0,0.0,0.0,0.0,0.0,0.0,127400.0,2122600.0,16.66,0,0,0.0,0.0
39,2023-04-07,0.0,0.0,0.0,0.0,0.0,0.0,112400.0,2309900.0,20.55,0,0,0.0,0.0
40,2023-03-31,0.0,0.0,0.0,0.0,0.0,0.0,109500.0,2412500.0,22.03,0,0,0.0,0.0
41,2023-03-24,0.0,0.0,0.0,0.0,0.0,0.0,1503600.0,2717700.0,1.81,0,0,0.0,0.0
42,2023-03-17,0.0,0.0,0.0,0.0,0.0,0.0,906000.0,2632900.0,2.91,0,0,0.0,0.0
43,2023-03-10,0.0,0.0,0.0,0.0,0.0,0.0,567600.0,2682300.0,4.73,0,0,0.0,0.0
44,2023-03-03,0.0,0.0,0.0,0.0,0.0,0.0,199200.0,3038800.0,15.26,0,0,0.0,0.0
