,Unnamed: 0_x,日付,始値,高値,安値,終値,売買高,修正後終値,信用売残,信用買残,信用倍率,逆日歩,日歩日数,貸株残,融資残,Unnamed: 0_y,累積始値,累積高値,累積安値,累積終値,累積売買高,累積修正後終値,累積信用売残,累積信用買残,累積信用倍率,累積逆日歩,累積日歩日数,累積貸株残,累積融資残,_merge
0,0.0,2023-09-22,2969.0,2996.5,2934.5,2977.0,2898900.0,2977.0,0.0,0.0,0.0,0.0,0,0.0,0.0,,,,,,,,,,,,,,,left_only
1,1.0,2023-09-21,3033.0,3058.0,2985.5,2986.0,3457100.0,2986.0,0.0,0.0,0.0,0.0,-,183800.0,177800.0,,,,,,,,,,,,,,,left_only
2,2.0,2023-09-20,3105.0,3115.0,3030.0,3030.0,3054700.0,3030.0,0.0,0.0,0.0,0.0,-,215800.0,208700.0,,,,,,,,,,,,,,,left_only
3,3.0,2023-09-19,3038.0,3100.0,3023.0,3094.0,3368200.0,3094.0,0.0,0.0,0.0,0.0,1,248400.0,223800.0,,,,,,,,,,,,,,,left_only
4,4.0,2023-09-15,3005.0,3073.0,3005.0,3044.0,3967100.0,3044.0,685800.0,1026900.0,1.5,0.0,1,243100.0,225000.0,0.0,3005.0,3073.0,3005.0,3044.0,3967100.0,3044.0,0.0,0.0,0.0,0.0,0,0.0,0.0,both
5,5.0,2023-09-14,2954.5,2996.0,2950.0,2993.5,2758900.0,2993.5,0.0,0.0,0.0,0.0,1,277800.0,222900.0,1.0,2954.5,2996.0,2950.0,2993.5,2758900.0,2993.5,0.0,0.0,0.0,0.0,1,277800.0,222900.0,both
6,6.0,2023-09-13,2930.0,2937.5,2908.0,2923.0,1967200.0,2923.0,0.0,0.0,0.0,0.0,-,185200.0,182200.0,2.0,2930.0,2937.5,2908.0,2923.0,1967200.0,2923.0,0.0,0.0,0.0,0.0,-,185200.0,182200.0,both
7,7.0,2023-09-12,2894.5,2949.5,2890.5,2934.5,2547400.0,2934.5,0.0,0.0,0.0,0.0,1,268700.0,195900.0,3.0,2894.5,2949.5,2890.5,2934.5,2547400.0,2934.5,0.0,0.0,0.0,0.0,1,268700.0,195900.0,both
8,8.0,2023-09-11,2890.5,2905.0,2846.0,2861.0,2394100.0,2861.0,0.0,0.0,0.0,0.0,-,208000.0,206000.0,4.0,2890.5,2905.0,2846.0,2861.0,2394100.0,2861.0,0.0,0.0,0.0,0.0,-,208000.0,206000.0,both
9,9.0,2023-09-08,2922.0,2948.0,2887.5,2888.5,3193400.0,2888.5,624800.0,1215700.0,1.95,0.0,-,210800.0,207700.0,5.0,2922.0,2948.0,2887.5,2888.5,3193400.0,2888.5,624800.0,1215700.0,1.95,0.0,-,210800.0,207700.0,both
10,10.0,2023-09-07,2940.0,2959.5,2905.0,2922.0,2583700.0,2922.0,0.0,0.0,0.0,0.0,1,219600.0,212700.0,6.0,2940.0,2959.5,2905.0,2922.0,2583700.0,2922.0,0.0,0.0,0.0,0.0,1,219600.0,212700.0,both
11,11.0,2023-09-06,2921.5,2963.5,2913.5,2942.5,2654500.0,2942.5,0.0,0.0,0.0,0.0,3,235900.0,216400.0,7.0,2921.5,2963.5,2913.5,2942.5,2654500.0,2942.5,0.0,0.0,0.0,0.0,3,235900.0,216400.0,both
12,12.0,2023-09-05,2905.0,2908.5,2862.5,2893.5,2846600.0,2893.5,0.0,0.0,0.0,0.0,-,192900.0,188900.0,8.0,2905.0,2908.5,2862.5,2893.5,2846600.0,2893.5,0.0,0.0,0.0,0.0,0,192900.0,188900.0,both
13,13.0,2023-09-04,2823.0,2914.5,2818.5,2914.5,4026800.0,2914.5,0.0,0.0,0.0,0.0,-,202800.0,199300.0,9.0,2823.0,2914.5,2818.5,2914.5,4026800.0,2914.5,0.0,0.0,0.0,0.0,0,202800.0,199300.0,both
14,14.0,2023-09-01,2794.0,2814.0,2790.0,2805.5,2788600.0,2805.5,626700.0,1354500.0,2.16,0.0,-,174400.0,167600.0,10.0,2794.0,2814.0,2790.0,2805.5,2788600.0,2805.5,626700.0,1354500.0,2.16,0.0,0,174400.0,167600.0,both
15,15.0,2023-08-31,2780.0,2817.5,2780.0,2809.5,4374300.0,2809.5,0.0,0.0,0.0,0.0,-,185000.0,178000.0,11.0,2780.0,2817.5,2780.0,2809.5,4374300.0,2809.5,0.0,0.0,0.0,0.0,0,185000.0,178000.0,both
16,16.0,2023-08-30,2756.0,2773.0,2747.0,2753.0,2254800.0,2753.0,0.0,0.0,0.0,0.0,-,150800.0,140500.0,12.0,2756.0,2773.0,2747.0,2753.0,2254800.0,2753.0,0.0,0.0,0.0,0.0,0,150800.0,140500.0,both
17,17.0,2023-08-29,2765.0,2772.0,2733.0,2743.0,2022800.0,2743.0,0.0,0.0,0.0,0.0,-,148300.0,137400.0,13.0,2765.0,2772.0,2733.0,2743.0,2022800.0,2743.0,0.0,0.0,0.0,0.0,0,148300.0,137400.0,both
18,18.0,2023-08-28,2730.5,2760.0,2718.0,2759.5,2931500.0,2759.5,0.0,0.0,0.0,0.0,-,167400.0,155000.0,14.0,2730.5,2760.0,2718.0,2759.5,2931500.0,2759.5,0.0,0.0,0.0,0.0,0,167400.0,155000.0,both
19,19.0,2023-08-25,2653.0,2693.0,2652.5,2687.5,2083000.0,2687.5,543300.0,1602600.0,2.95,0.0,-,164000.0,150300.0,15.0,2653.0,2693.0,2652.5,2687.5,2083000.0,2687.5,543300.0,1602600.0,2.95,0.0,0,164000.0,150300.0,both
20,20.0,2023-08-24,2676.0,2686.5,2646.0,2679.5,2518300.0,2679.5,0.0,0.0,0.0,0.0,-,135500.0,119900.0,16.0,2676.0,2686.5,2646.0,2679.5,2518300.0,2679.5,0.0,0.0,0.0,0.0,0,135500.0,119900.0,both
21,21.0,2023-08-23,2664.5,2700.5,2660.5,2697.0,2100200.0,2697.0,0.0,0.0,0.0,0.0,-,137500.0,122200.0,17.0,2664.5,2700.5,2660.5,2697.0,2100200.0,2697.0,0.0,0.0,0.0,0.0,0,137500.0,122200.0,both
22,22.0,2023-08-22,2671.5,2706.0,2668.5,2703.5,2346200.0,2703.5,0.0,0.0,0.0,0.0,0,0.0,0.0,18.0,2671.5,2706.0,2668.5,2703.5,2346200.0,2703.5,0.0,0.0,0.0,0.0,0,163100.0,149500.0,both
23,23.0,2023-08-21,2630.0,2662.5,2625.0,2634.0,1944200.0,2634.0,0.0,0.0,0.0,0.0,0,0.0,0.0,19.0,2630.0,2662.5,2625.0,2634.0,1944200.0,2634.0,0.0,0.0,0.0,0.0,0,116500.0,98200.0,both
24,24.0,2023-08-18,2637.5,2656.5,2616.5,2628.0,2312900.0,2628.0,483500.0,1687000.0,3.49,0.0,0,0.0,0.0,20.0,2637.5,2656.5,2616.5,2628.0,2312900.0,2628.0,483500.0,1687000.0,3.49,0.0,0,118400.0,100200.0,both
44,,2023-08-17,,,,,,,,,,,,,,21.0,2640.0,2680.5,2630.5,2657.0,3848400.0,2657.0,0.0,0.0,0.0,0.0,0,198600.0,180500.0,right_only
45,,2023-08-16,,,,,,,,,,,,,,22.0,2600.0,2619.5,2591.0,2599.5,1739800.0,2599.5,0.0,0.0,0.0,0.0,0,116400.0,94300.0,right_only
46,,2023-08-15,,,,,,,,,,,,,,23.0,2627.0,2637.0,2615.5,2620.5,2014800.0,2620.5,0.0,0.0,0.0,0.0,0,122600.0,100300.0,right_only
47,,2023-08-14,,,,,,,,,,,,,,24.0,2634.0,2660.5,2602.5,2613.0,1998200.0,2613.0,0.0,0.0,0.0,0.0,0,118800.0,95500.0,right_only
25,25.0,2023-08-10,0.0,0.0,0.0,0.0,0.0,0.0,520600.0,2212800.0,4.25,0.0,0,0.0,0.0,25.0,2568.5,2626.0,2568.5,2626.0,2406000.0,2626.0,520600.0,2212800.0,4.25,0.0,0,164800.0,139800.0,both
48,,2023-08-09,,,,,,,,,,,,,,26.0,2620.0,2621.0,2567.5,2567.5,2578800.0,2567.5,0.0,0.0,0.0,0.0,0,108900.0,83700.0,right_only
49,,2023-08-08,,,,,,,,,,,,,,27.0,2633.0,2670.0,2627.0,2631.5,2327400.0,2631.5,0.0,0.0,0.0,0.0,0,129500.0,105300.0,right_only
50,,2023-08-07,,,,,,,,,,,,,,28.0,2601.5,2623.5,2564.0,2609.5,3486100.0,2609.5,0.0,0.0,0.0,0.0,0,105300.0,78700.0,right_only
26,26.0,2023-08-04,0.0,0.0,0.0,0.0,0.0,0.0,459100.0,2379700.0,5.18,0.0,0,0.0,0.0,29.0,2640.0,2680.5,2629.5,2664.5,2315200.0,2664.5,459100.0,2379700.0,5.18,0.0,0,108200.0,80900.0,both
51,,2023-08-03,,,,,,,,,,,,,,30.0,2703.0,2720.0,2640.0,2663.0,4079500.0,2663.0,0.0,0.0,0.0,0.0,0,110300.0,138400.0,right_only
52,,2023-08-02,,,,,,,,,,,,,,31.0,2733.5,2806.0,2662.0,2692.5,11497800.0,2692.5,0.0,0.0,0.0,0.0,0,178200.0,169700.0,right_only
53,,2023-08-01,,,,,,,,,,,,,,32.0,2707.0,2751.5,2695.5,2751.5,4360400.0,2751.5,0.0,0.0,0.0,0.0,0,151900.0,142900.0,right_only
54,,2023-07-31,,,,,,,,,,,,,,33.0,2671.0,2713.5,2664.0,2686.5,3732100.0,2686.5,0.0,0.0,0.0,0.0,0,161600.0,155600.0,right_only
27,27.0,2023-07-28,0.0,0.0,0.0,0.0,0.0,0.0,462600.0,1348600.0,2.92,0.0,0,0.0,0.0,34.0,2610.0,2680.5,2568.5,2619.0,4453300.0,2619.0,462600.0,1348600.0,2.92,0.0,0,121800.0,114000.0,both
55,,2023-07-27,,,,,,,,,,,,,,35.0,2690.0,2698.0,2653.5,2672.0,2480400.0,2672.0,0.0,0.0,0.0,0.0,0,139000.0,131300.0,right_only
56,,2023-07-26,,,,,,,,,,,,,,36.0,2663.0,2680.5,2635.0,2668.5,2414200.0,2668.5,0.0,0.0,0.0,0.0,0,128300.0,119100.0,right_only
57,,2023-07-25,,,,,,,,,,,,,,37.0,2710.0,2738.5,2683.5,2721.0,3107100.0,2721.0,0.0,0.0,0.0,0.0,0,141800.0,128900.0,right_only
58,,2023-07-24,,,,,,,,,,,,,,38.0,2650.5,2700.0,2645.5,2683.0,3106700.0,2683.0,0.0,0.0,0.0,0.0,0,144800.0,131800.0,right_only
28,28.0,2023-07-21,0.0,0.0,0.0,0.0,0.0,0.0,524300.0,1265800.0,2.41,0.0,0,0.0,0.0,39.0,2613.0,2638.0,2604.5,2618.0,2373800.0,2618.0,524300.0,1265800.0,2.41,0.0,0,149100.0,140000.0,both
59,,2023-07-20,,,,,,,,,,,,,,40.0,2587.0,2627.0,2585.0,2609.5,4765100.0,2609.5,0.0,0.0,0.0,0.0,0,188100.0,177900.0,right_only
60,,2023-07-19,,,,,,,,,,,,,,41.0,2520.0,2558.0,2515.5,2558.0,3099900.0,2558.0,0.0,0.0,0.0,0.0,0,140500.0,127400.0,right_only
61,,2023-07-18,,,,,,,,,,,,,,42.0,2450.0,2496.5,2446.5,2490.5,2799500.0,2490.5,0.0,0.0,0.0,0.0,0,102700.0,98400.0,right_only
29,29.0,2023-07-14,0.0,0.0,0.0,0.0,0.0,0.0,469900.0,1366900.0,2.91,0.0,0,0.0,0.0,43.0,2464.5,2495.5,2431.0,2457.5,3838200.0,2457.5,469900.0,1366900.0,2.91,0.0,0,107500.0,103600.0,both
62,,2023-07-13,,,,,,,,,,,,,,44.0,2515.0,2519.0,2459.0,2486.5,3274100.0,2486.5,0.0,0.0,0.0,0.0,0,103400.0,101200.0,right_only
63,,2023-07-12,,,,,,,,,,,,,,45.0,2549.0,2551.0,2506.5,2520.0,1978600.0,2520.0,0.0,0.0,0.0,0.0,0,114800.0,113000.0,right_only
64,,2023-07-11,,,,,,,,,,,,,,46.0,2569.5,2582.5,2528.0,2533.5,2735200.0,2533.5,0.0,0.0,0.0,0.0,0,123000.0,119400.0,right_only
65,,2023-07-10,,,,,,,,,,,,,,47.0,2633.5,2636.0,2546.5,2565.0,5169100.0,2565.0,0.0,0.0,0.0,0.0,0,127600.0,124100.0,right_only
30,30.0,2023-07-07,0.0,0.0,0.0,0.0,0.0,0.0,545900.0,1559100.0,2.86,0.0,0,0.0,0.0,48.0,2653.0,2680.0,2615.5,2615.5,3704500.0,2615.5,545900.0,1559100.0,2.86,0.0,0,143300.0,139400.0,both
66,,2023-07-06,,,,,,,,,,,,,,49.0,2704.0,2728.5,2671.0,2682.0,3269300.0,2682.0,0.0,0.0,0.0,0.0,0,152500.0,148700.0,right_only
67,,2023-07-05,,,,,,,,,,,,,,50.0,2681.0,2711.0,2674.0,2710.5,1922100.0,2710.5,0.0,0.0,0.0,0.0,0,150500.0,143400.0,right_only
68,,2023-07-04,,,,,,,,,,,,,,51.0,2767.5,2775.0,2712.0,2716.0,2355700.0,2716.0,0.0,0.0,0.0,0.0,0,163900.0,159700.0,right_only
69,,2023-07-03,,,,,,,,,,,,,,52.0,2746.0,2770.0,2731.5,2753.5,2501100.0,2753.5,0.0,0.0,0.0,0.0,0,200300.0,200200.0,right_only
31,31.0,2023-06-30,0.0,0.0,0.0,0.0,0.0,0.0,586200.0,1294400.0,2.21,0.0,0,0.0,0.0,53.0,2715.0,2725.0,2680.5,2703.0,2731500.0,2703.0,586200.0,1294400.0,2.21,0.0,0,164700.0,164700.0,both
70,,2023-06-29,,,,,,,,,,,,,,54.0,2710.0,2749.5,2710.0,2735.0,3104900.0,2735.0,0.0,0.0,0.0,0.0,0,195500.0,195500.0,right_only
71,,2023-06-28,,,,,,,,,,,,,,55.0,2703.0,2712.0,2659.5,2707.5,3516000.0,2707.5,0.0,0.0,0.0,0.0,0,181700.0,181700.0,right_only
72,,2023-06-27,,,,,,,,,,,,,,56.0,2679.0,2681.0,2620.0,2625.5,2736700.0,2625.5,0.0,0.0,0.0,0.0,0,157900.0,157900.0,right_only
73,,2023-06-26,,,,,,,,,,,,,,57.0,2615.5,2667.0,2614.5,2650.5,1945200.0,2650.5,0.0,0.0,0.0,0.0,0,175400.0,175400.0,right_only
32,32.0,2023-06-23,0.0,0.0,0.0,0.0,0.0,0.0,594400.0,1345100.0,2.26,0.0,0,0.0,0.0,58.0,2706.0,2716.0,2630.5,2647.5,2780600.0,2647.5,594400.0,1345100.0,2.26,0.0,0,189200.0,189200.0,both
74,,2023-06-22,,,,,,,,,,,,,,59.0,2668.0,2706.0,2654.5,2675.5,3945300.0,2675.5,0.0,0.0,0.0,0.0,0,206000.0,206000.0,right_only
75,,2023-06-21,,,,,,,,,,,,,,60.0,2622.0,2690.5,2609.0,2685.0,2713000.0,2685.0,0.0,0.0,0.0,0.0,0,204500.0,204000.0,right_only
76,,2023-06-20,,,,,,,,,,,,,,61.0,2667.0,2671.5,2636.0,2656.5,1986700.0,2656.5,0.0,0.0,0.0,0.0,0,165400.0,165400.0,right_only
77,,2023-06-19,,,,,,,,,,,,,,62.0,2675.5,2699.5,2662.5,2667.0,2937300.0,2667.0,0.0,0.0,0.0,0.0,0,189700.0,189600.0,right_only
33,33.0,2023-06-16,0.0,0.0,0.0,0.0,0.0,0.0,584100.0,1256800.0,2.15,0.0,0,0.0,0.0,63.0,2668.5,2679.5,2638.5,2663.5,3804800.0,2663.5,584100.0,1256800.0,2.15,0.0,0,150700.0,150700.0,both
78,,2023-06-15,,,,,,,,,,,,,,64.0,2687.5,2706.0,2650.5,2692.0,3403600.0,2692.0,0.0,0.0,0.0,0.0,0,154900.0,154900.0,right_only
79,,2023-06-14,,,,,,,,,,,,,,65.0,2662.0,2728.0,2656.0,2702.0,3972200.0,2702.0,0.0,0.0,0.0,0.0,0,190200.0,189900.0,right_only
80,,2023-06-13,,,,,,,,,,,,,,66.0,2580.0,2648.0,2576.0,2631.0,4100400.0,2631.0,0.0,0.0,0.0,0.0,0,234000.0,234000.0,right_only
81,,2023-06-12,,,,,,,,,,,,,,67.0,2565.0,2569.0,2544.5,2562.5,1827900.0,2562.5,0.0,0.0,0.0,0.0,0,179700.0,179700.0,right_only
34,34.0,2023-06-09,0.0,0.0,0.0,0.0,0.0,0.0,568600.0,1078300.0,1.9,0.0,0,0.0,0.0,68.0,2543.5,2567.0,2538.5,2566.5,2872300.0,2566.5,568600.0,1078300.0,1.9,0.0,0,207600.0,207600.0,both
