,日付,始値,高値,安値,終値,売買高,修正後終値,信用売残,信用買残,信用倍率,逆日歩,日歩日数,貸株残,融資残
0,2023-09-08,2922.0,2948.0,2887.5,2888.5,3193400.0,2888.5,0.0,0.0,0.0,0.0,0,0.0,0.0
1,2023-09-07,2940.0,2959.5,2905.0,2922.0,2583700.0,2922.0,0.0,0.0,0.0,0.0,1,219600.0,212700.0
2,2023-09-06,2921.5,2963.5,2913.5,2942.5,2654500.0,2942.5,0.0,0.0,0.0,0.0,3,235900.0,216400.0
3,2023-09-05,2905.0,2908.5,2862.5,2893.5,2846600.0,2893.5,0.0,0.0,0.0,0.0,-,192900.0,188900.0
4,2023-09-04,2823.0,2914.5,2818.5,2914.5,4026800.0,2914.5,0.0,0.0,0.0,0.0,-,202800.0,199300.0
5,2023-09-01,2794.0,2814.0,2790.0,2805.5,2788600.0,2805.5,626700.0,1354500.0,2.16,0.0,-,174400.0,167600.0
6,2023-08-31,2780.0,2817.5,2780.0,2809.5,4374300.0,2809.5,0.0,0.0,0.0,0.0,-,185000.0,178000.0
7,2023-08-30,2756.0,2773.0,2747.0,2753.0,2254800.0,2753.0,0.0,0.0,0.0,0.0,-,150800.0,140500.0
8,2023-08-29,2765.0,2772.0,2733.0,2743.0,2022800.0,2743.0,0.0,0.0,0.0,0.0,-,148300.0,137400.0
9,2023-08-28,2730.5,2760.0,2718.0,2759.5,2931500.0,2759.5,0.0,0.0,0.0,0.0,-,167400.0,155000.0
10,2023-08-25,2653.0,2693.0,2652.5,2687.5,2083000.0,2687.5,543300.0,1602600.0,2.95,0.0,-,164000.0,150300.0
11,2023-08-24,2676.0,2686.5,2646.0,2679.5,2518300.0,2679.5,0.0,0.0,0.0,0.0,-,135500.0,119900.0
12,2023-08-23,2664.5,2700.5,2660.5,2697.0,2100200.0,2697.0,0.0,0.0,0.0,0.0,-,137500.0,122200.0
13,2023-08-22,2671.5,2706.0,2668.5,2703.5,2346200.0,2703.5,0.0,0.0,0.0,0.0,-,163100.0,149500.0
14,2023-08-21,2630.0,2662.5,2625.0,2634.0,1944200.0,2634.0,0.0,0.0,0.0,0.0,-,116500.0,98200.0
15,2023-08-18,2637.5,2656.5,2616.5,2628.0,2312900.0,2628.0,483500.0,1687000.0,3.49,0.0,-,118400.0,100200.0
16,2023-08-17,2640.0,2680.5,2630.5,2657.0,3848400.0,2657.0,0.0,0.0,0.0,0.0,-,198600.0,180500.0
17,2023-08-16,2600.0,2619.5,2591.0,2599.5,1739800.0,2599.5,0.0,0.0,0.0,0.0,-,116400.0,94300.0
18,2023-08-15,2627.0,2637.0,2615.5,2620.5,2014800.0,2620.5,0.0,0.0,0.0,0.0,-,122600.0,100300.0
19,2023-08-14,2634.0,2660.5,2602.5,2613.0,1998200.0,2613.0,0.0,0.0,0.0,0.0,-,118800.0,95500.0
20,2023-08-10,2568.5,2626.0,2568.5,2626.0,2406000.0,2626.0,520600.0,2212800.0,4.25,0.0,-,164800.0,139800.0
21,2023-08-09,2620.0,2621.0,2567.5,2567.5,2578800.0,2567.5,0.0,0.0,0.0,0.0,-,108900.0,83700.0
