,日付,始値,高値,安値,終値,売買高,修正後終値,信用売残,信用買残,信用倍率,逆日歩,日歩日数,貸株残,融資残
0,2023-09-08,2467.0,2497.5,2463.5,2472.0,13102600.0,2472.0,0.0,0.0,0.0,0,0,0.0,0.0
1,2023-09-07,2509.0,2521.5,2492.0,2495.5,12052500.0,2495.5,0.0,0.0,0.0,-,-,4600.0,173500.0
2,2023-09-06,2500.0,2528.5,2498.5,2513.5,11274300.0,2513.5,0.0,0.0,0.0,-,-,10400.0,146100.0
3,2023-09-05,2501.5,2518.5,2455.5,2485.0,11953100.0,2485.0,0.0,0.0,0.0,-,-,12300.0,155300.0
4,2023-09-04,2469.0,2491.5,2462.0,2491.5,10296100.0,2491.5,0.0,0.0,0.0,-,-,42700.0,154100.0
5,2023-09-01,2413.0,2463.0,2411.5,2450.0,13053900.0,2450.0,1413900.0,6948200.0,4.91,-,-,64700.0,136900.0
6,2023-08-31,2404.0,2417.5,2399.0,2410.0,9411300.0,2410.0,0.0,0.0,0.0,-,-,4000.0,194200.0
7,2023-08-30,2388.5,2420.0,2384.5,2419.0,11058400.0,2419.0,0.0,0.0,0.0,-,-,18000.0,161600.0
8,2023-08-29,2395.5,2401.5,2365.5,2376.5,7259500.0,2376.5,0.0,0.0,0.0,-,-,22700.0,165700.0
9,2023-08-28,2357.0,2393.0,2352.5,2385.5,8213000.0,2385.5,0.0,0.0,0.0,-,-,12600.0,142000.0
10,2023-08-25,2320.5,2357.0,2315.5,2340.0,8227600.0,2340.0,1076800.0,7888700.0,7.33,-,-,7900.0,166800.0
11,2023-08-24,2325.0,2342.5,2322.0,2333.0,6486000.0,2333.0,0.0,0.0,0.0,-,-,24500.0,165700.0
12,2023-08-23,2301.5,2340.5,2297.0,2335.0,8230100.0,2335.0,0.0,0.0,0.0,-,-,14200.0,171000.0
13,2023-08-22,2280.0,2319.0,2275.0,2315.0,7329900.0,2315.0,0.0,0.0,0.0,-,-,1900.0,168900.0
