,日付,始値,高値,安値,終値,売買高,修正後終値,信用売残,信用買残,信用倍率,逆日歩,日歩日数,貸株残,融資残
0,2023-09-15,1307.5,1337.5,1295.0,1308.0,27066200.0,1308.0,0.0,0.0,0.0,0.0,0,0.0,0.0
1,2023-09-14,1291.5,1308.0,1288.0,1303.0,17692400.0,1303.0,0.0,0.0,0.0,0.0,-,510200.0,510200.0
2,2023-09-13,1263.0,1289.0,1258.0,1287.5,18981500.0,1287.5,0.0,0.0,0.0,0.0,-,633100.0,633100.0
3,2023-09-12,1250.0,1263.5,1243.0,1260.5,15749600.0,1260.5,0.0,0.0,0.0,0.0,1,565700.0,408300.0
4,2023-09-11,1216.0,1242.0,1210.0,1242.0,16772800.0,1242.0,0.0,0.0,0.0,0.05,1,750900.0,244300.0
5,2023-09-08,1200.0,1211.5,1192.5,1199.5,11167900.0,1199.5,1030800.0,1330400.0,1.29,0.05,1,806100.0,318900.0
6,2023-09-07,1202.5,1212.5,1200.5,1205.0,8435800.0,1205.0,0.0,0.0,0.0,0.05,1,945100.0,235300.0
7,2023-09-06,1184.5,1228.0,1184.0,1216.5,24239500.0,1216.5,0.0,0.0,0.0,0.15,3,818600.0,89800.0
8,2023-09-05,1183.0,1185.0,1172.0,1182.5,7451300.0,1182.5,0.0,0.0,0.0,0.0,1,431400.0,166100.0
9,2023-09-04,1180.0,1185.0,1177.0,1182.0,9584900.0,1182.0,0.0,0.0,0.0,0.0,1,440500.0,195200.0
10,2023-09-01,1170.0,1183.0,1169.5,1175.5,10626900.0,1175.5,733100.0,1289900.0,1.76,0.0,1,508500.0,160800.0
11,2023-08-31,1164.0,1172.0,1163.0,1168.5,9316500.0,1168.5,0.0,0.0,0.0,0.0,1,559800.0,217100.0
12,2023-08-30,1169.5,1171.5,1163.5,1167.5,6489800.0,1167.5,0.0,0.0,0.0,0.0,3,548000.0,227000.0
13,2023-08-29,1172.5,1176.0,1161.5,1165.0,6890200.0,1165.0,0.0,0.0,0.0,0.0,1,497800.0,232100.0
14,2023-08-28,1173.5,1175.5,1169.0,1170.5,4990900.0,1170.5,0.0,0.0,0.0,0.0,1,496100.0,198100.0
15,2023-08-25,1175.5,1179.5,1168.5,1171.0,5901400.0,1171.0,1014800.0,1518800.0,1.5,0.0,1,673300.0,317800.0
16,2023-08-24,1171.0,1178.5,1169.0,1175.0,7393400.0,1175.0,0.0,0.0,0.0,0.05,1,754800.0,305000.0
