,Unnamed: 0_x,日付,始値,高値,安値,終値,売買高,修正後終値,信用売残,信用買残,信用倍率,逆日歩,日歩日数,貸株残,融資残,Unnamed: 0_y,累積始値,累積高値,累積安値,累積終値,累積売買高,累積修正後終値,累積信用売残,累積信用買残,累積信用倍率,累積逆日歩,累積日歩日数,累積貸株残,累積融資残,_merge
0,0.0,2023-08-25,1573.0,1631.0,1552.0,1622.0,571100.0,1622.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,left_only
1,1.0,2023-08-24,1594.0,1608.0,1541.0,1596.0,619600.0,1596.0,0.0,0.0,0.0,0.05,1.0,974400.0,92100.0,,,,,,,,,,,,,,,left_only
2,2.0,2023-08-23,1529.0,1605.0,1522.0,1594.0,721400.0,1594.0,0.0,0.0,0.0,0.3,3.0,964100.0,84900.0,0.0,1529.0,1605.0,1522.0,1594.0,721400.0,1594.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,both
3,3.0,2023-08-22,1480.0,1543.0,1479.0,1535.0,691000.0,1535.0,0.0,0.0,0.0,0.05,1.0,929800.0,98100.0,1.0,1480.0,1543.0,1479.0,1535.0,691000.0,1535.0,0.0,0.0,0.0,0.05,1.0,929800.0,98100.0,both
4,4.0,2023-08-21,1432.0,1546.0,1432.0,1476.0,907500.0,1476.0,0.0,0.0,0.0,0.05,1.0,830900.0,91100.0,2.0,1432.0,1546.0,1432.0,1476.0,907500.0,1476.0,0.0,0.0,0.0,0.05,1.0,830900.0,91100.0,both
5,5.0,2023-08-18,1456.0,1481.0,1426.0,1460.0,533500.0,1460.0,1371800.0,697900.0,0.51,0.05,1.0,857500.0,93700.0,3.0,1456.0,1481.0,1426.0,1460.0,533500.0,1460.0,1371800.0,697900.0,0.51,0.05,1.0,857500.0,93700.0,both
6,6.0,2023-08-17,1510.0,1520.0,1456.0,1471.0,571200.0,1471.0,0.0,0.0,0.0,0.05,1.0,837600.0,105500.0,4.0,1510.0,1520.0,1456.0,1471.0,571200.0,1471.0,0.0,0.0,0.0,0.05,1.0,837600.0,105500.0,both
7,7.0,2023-08-16,1574.0,1578.0,1512.0,1532.0,575800.0,1532.0,0.0,0.0,0.0,0.15,3.0,814000.0,95300.0,5.0,1574.0,1578.0,1512.0,1532.0,575800.0,1532.0,0.0,0.0,0.0,0.15,3.0,814000.0,95300.0,both
8,8.0,2023-08-15,1605.0,1619.0,1578.0,1590.0,460200.0,1590.0,0.0,0.0,0.0,0.05,1.0,861800.0,89300.0,6.0,1605.0,1619.0,1578.0,1590.0,460200.0,1590.0,0.0,0.0,0.0,0.05,1.0,861800.0,89300.0,both
9,9.0,2023-08-14,1523.0,1615.0,1515.0,1605.0,1477500.0,1605.0,0.0,0.0,0.0,0.05,1.0,850800.0,91200.0,7.0,1523.0,1615.0,1515.0,1605.0,1477500.0,1605.0,0.0,0.0,0.0,0.05,1.0,850800.0,91200.0,both
