,日付,始値,高値,安値,終値,売買高,修正後終値,信用売残,信用買残,信用倍率,逆日歩,日歩日数,貸株残,融資残
0,2023-09-08,2050.0,2058.0,2030.0,2039.0,27900.0,2039.0,0.0,0.0,0.0,0,0,0.0,0.0
1,2023-09-07,2088.0,2105.0,2056.0,2061.0,18900.0,2061.0,0.0,0.0,0.0,-,-,0.0,3600.0
2,2023-09-06,2120.0,2120.0,2096.0,2099.0,15000.0,2099.0,0.0,0.0,0.0,-,-,0.0,3600.0
3,2023-09-05,2106.0,2110.0,2082.0,2110.0,25300.0,2110.0,0.0,0.0,0.0,-,-,0.0,3700.0
4,2023-09-04,2071.0,2093.0,2061.0,2089.0,16000.0,2089.0,0.0,0.0,0.0,-,-,200.0,3700.0
5,2023-09-01,2059.0,2062.0,2038.0,2055.0,17600.0,2055.0,3100.0,46300.0,14.94,-,-,600.0,3900.0
6,2023-08-31,2065.0,2075.0,2050.0,2059.0,15400.0,2059.0,0.0,0.0,0.0,-,-,600.0,3900.0
7,2023-08-30,2098.0,2099.0,2051.0,2062.0,27400.0,2062.0,0.0,0.0,0.0,-,-,600.0,3900.0
8,2023-08-29,2033.0,2078.0,2032.0,2064.0,29400.0,2064.0,0.0,0.0,0.0,-,-,1500.0,4000.0
9,2023-08-28,2008.0,2021.0,1993.0,2021.0,15400.0,2021.0,0.0,0.0,0.0,-,-,1500.0,4500.0
10,2023-08-25,2000.0,2000.0,1979.0,1982.0,21400.0,1982.0,4700.0,44900.0,9.55,-,-,1500.0,4500.0
11,2023-08-24,2004.0,2014.0,1977.0,1995.0,28100.0,1995.0,0.0,0.0,0.0,-,-,1700.0,4500.0
12,2023-08-23,1969.0,1993.0,1968.0,1983.0,39100.0,1983.0,0.0,0.0,0.0,-,-,1000.0,4700.0
13,2023-08-22,1982.0,1994.0,1947.0,1964.0,34400.0,1964.0,0.0,0.0,0.0,-,-,1000.0,4600.0
14,2023-08-21,1973.0,2006.0,1956.0,1979.0,23000.0,1979.0,0.0,0.0,0.0,-,-,1300.0,8200.0
15,2023-08-18,2010.0,2010.0,1959.0,1969.0,43800.0,1969.0,5400.0,42800.0,7.93,-,-,1100.0,8200.0
16,2023-08-17,2015.0,2016.0,1982.0,2010.0,40000.0,2010.0,0.0,0.0,0.0,-,-,900.0,8200.0
17,2023-08-16,2019.0,2061.0,2019.0,2029.0,9700.0,2029.0,0.0,0.0,0.0,-,-,2700.0,7200.0
18,2023-08-15,2025.0,2070.0,2025.0,2031.0,25500.0,2031.0,0.0,0.0,0.0,-,-,2600.0,7100.0
