,日付,始値,高値,安値,終値,売買高,修正後終値,信用売残,信用買残,信用倍率,逆日歩,日歩日数,貸株残,融資残
0,2023-08-31,1669.0,1679.5,1656.0,1679.5,11208500.0,1679.5,0.0,0.0,0.0,0,0,0.0,0.0
1,2023-08-30,1670.0,1672.0,1656.5,1659.5,5566900.0,1659.5,0.0,0.0,0.0,-,-,21900.0,61800.0
2,2023-08-29,1678.0,1680.0,1656.0,1659.0,4637200.0,1659.0,0.0,0.0,0.0,-,-,8800.0,128200.0
3,2023-08-28,1660.0,1677.5,1658.5,1672.5,4607500.0,1672.5,0.0,0.0,0.0,-,-,8800.0,100600.0
4,2023-08-25,1659.0,1662.5,1647.5,1653.0,5716700.0,1653.0,1480700.0,4569000.0,3.09,-,-,8800.0,71100.0
5,2023-08-24,1692.0,1709.5,1682.5,1685.0,11715000.0,1685.0,0.0,0.0,0.0,-,-,6900.0,61100.0
6,2023-08-23,1590.5,1669.5,1587.5,1664.5,12116800.0,1664.5,0.0,0.0,0.0,-,-,7200.0,89900.0
7,2023-08-22,1593.0,1594.0,1575.5,1589.0,3902900.0,1589.0,0.0,0.0,0.0,-,-,6800.0,68800.0
8,2023-08-21,1586.0,1589.5,1566.0,1577.0,4692100.0,1577.0,0.0,0.0,0.0,-,-,8800.0,88700.0
9,2023-08-18,1560.0,1586.5,1555.0,1586.5,6667400.0,1586.5,1425200.0,5685500.0,3.99,-,-,20600.0,82500.0
10,2023-08-17,1613.5,1613.5,1559.5,1596.5,6080500.0,1596.5,0.0,0.0,0.0,-,-,14200.0,97000.0
11,2023-08-16,1611.0,1619.0,1597.0,1601.5,4764200.0,1601.5,0.0,0.0,0.0,-,-,14000.0,75000.0
12,2023-08-15,1611.0,1622.0,1603.5,1609.0,6058600.0,1609.0,0.0,0.0,0.0,-,-,32600.0,113300.0
13,2023-08-14,1654.0,1662.5,1593.5,1597.5,9106500.0,1597.5,0.0,0.0,0.0,-,-,7900.0,120500.0
14,2023-08-10,1629.0,1655.5,1623.5,1650.5,6615700.0,1650.5,1469700.0,6880800.0,4.68,-,-,11800.0,81700.0
15,2023-08-09,1618.5,1635.0,1616.0,1622.0,7774000.0,1622.0,0.0,0.0,0.0,-,-,28100.0,125800.0
16,2023-08-08,1665.0,1670.5,1641.0,1644.0,7676400.0,1644.0,0.0,0.0,0.0,-,-,25800.0,122400.0
17,2023-08-07,1658.0,1677.5,1652.0,1670.5,4721600.0,1670.5,0.0,0.0,0.0,-,-,11900.0,83500.0
18,2023-08-04,1683.5,1687.0,1655.5,1664.5,7379300.0,1664.5,1482800.0,10663900.0,7.19,-,-,34500.0,115900.0
19,2023-08-03,1672.5,1699.0,1666.0,1688.0,8411600.0,1688.0,0.0,0.0,0.0,-,-,11800.0,109600.0
20,2023-08-02,1726.5,1737.5,1692.0,1699.0,11865200.0,1699.0,0.0,0.0,0.0,-,-,30200.0,121900.0
21,2023-08-01,1728.0,1742.5,1684.5,1738.5,19980200.0,1738.5,0.0,0.0,0.0,-,-,21100.0,123300.0
22,2023-07-31,1737.0,1766.0,1723.5,1760.0,13305500.0,1760.0,0.0,0.0,0.0,-,-,72400.0,131300.0
23,2023-07-28,1711.0,1718.0,1672.0,1697.0,11972400.0,1697.0,1521300.0,7137300.0,4.69,0,0,0.0,0.0
24,2023-07-27,1737.5,1744.5,1730.0,1736.0,6360800.0,1736.0,0.0,0.0,0.0,0,0,0.0,0.0
25,2023-07-21,0.0,0.0,0.0,0.0,0.0,0.0,1625700.0,7363700.0,4.53,0,0,0.0,0.0
26,2023-07-14,0.0,0.0,0.0,0.0,0.0,0.0,1528100.0,7468600.0,4.89,0,0,0.0,0.0
27,2023-07-07,0.0,0.0,0.0,0.0,0.0,0.0,1669100.0,7480100.0,4.48,0,0,0.0,0.0
28,2023-06-30,0.0,0.0,0.0,0.0,0.0,0.0,1766900.0,7088600.0,4.01,0,0,0.0,0.0
