,日付,始値,高値,安値,終値,売買高,修正後終値,信用売残,信用買残,信用倍率,逆日歩,日歩日数,貸株残,融資残
0,2023-09-08,227.0,229.0,208.0,220.0,84100.0,220.0,0.0,0.0,0.0,0,0,0,0
1,2023-09-07,221.0,233.0,221.0,228.0,127400.0,228.0,0.0,0.0,0.0,0,0,0,0
2,2023-09-06,225.0,225.0,221.0,223.0,71300.0,223.0,0.0,0.0,0.0,0,0,0,0
3,2023-09-05,227.0,229.0,215.0,225.0,146000.0,225.0,0.0,0.0,0.0,0,0,0,0
4,2023-09-04,215.0,216.0,212.0,213.0,46200.0,213.0,0.0,0.0,0.0,0,0,0,0
5,2023-09-01,213.0,215.0,211.0,213.0,45000.0,213.0,400.0,143400.0,358.5,0,0,0,0
6,2023-08-31,208.0,213.0,208.0,213.0,49700.0,213.0,0.0,0.0,0.0,0,0,0,0
7,2023-08-30,211.0,212.0,209.0,209.0,31800.0,209.0,0.0,0.0,0.0,0,0,0,0
8,2023-08-29,209.0,213.0,207.0,210.0,63800.0,210.0,0.0,0.0,0.0,0,0,0,0
9,2023-08-28,204.0,208.0,204.0,205.0,18600.0,205.0,0.0,0.0,0.0,0,0,0,0
10,2023-08-25,206.0,211.0,203.0,204.0,92800.0,204.0,400.0,147400.0,368.5,0,0,0,0
11,2023-08-24,214.0,214.0,207.0,207.0,87700.0,207.0,0.0,0.0,0.0,0,0,0,0
12,2023-08-23,214.0,215.0,210.0,211.0,34000.0,211.0,0.0,0.0,0.0,0,0,0,0
13,2023-08-22,211.0,214.0,209.0,211.0,16600.0,211.0,0.0,0.0,0.0,0,0,0,0
14,2023-08-21,207.0,216.0,207.0,211.0,74000.0,211.0,0.0,0.0,0.0,0,0,0,0
15,2023-08-18,205.0,212.0,205.0,207.0,36600.0,207.0,400.0,150300.0,375.75,0,0,0,0
16,2023-08-17,207.0,212.0,205.0,209.0,47100.0,209.0,0.0,0.0,0.0,0,0,0,0
17,2023-08-16,210.0,211.0,207.0,211.0,35900.0,211.0,0.0,0.0,0.0,0,0,0,0
18,2023-08-15,213.0,213.0,207.0,212.0,55700.0,212.0,0.0,0.0,0.0,0,0,0,0
19,2023-08-14,215.0,220.0,210.0,213.0,65400.0,213.0,0.0,0.0,0.0,0,0,0,0
20,2023-08-10,208.0,214.0,205.0,212.0,60200.0,212.0,400.0,143800.0,359.5,0,0,0,0
21,2023-08-09,201.0,210.0,201.0,208.0,58400.0,208.0,0.0,0.0,0.0,0,0,0,0
22,2023-08-08,204.0,205.0,201.0,201.0,39600.0,201.0,0.0,0.0,0.0,0,0,0,0
23,2023-08-07,210.0,210.0,202.0,204.0,68600.0,204.0,0.0,0.0,0.0,0,0,0,0
24,2023-08-04,206.0,209.0,202.0,209.0,124300.0,209.0,400.0,137000.0,342.5,0,0,0,0
25,2023-07-28,0.0,0.0,0.0,0.0,0.0,0.0,400.0,89700.0,224.25,0,0,0,0
26,2023-07-21,0.0,0.0,0.0,0.0,0.0,0.0,400.0,75600.0,189.0,0,0,0,0
27,2023-07-14,0.0,0.0,0.0,0.0,0.0,0.0,400.0,78900.0,197.25,0,0,0,0
28,2023-07-07,0.0,0.0,0.0,0.0,0.0,0.0,2000.0,73100.0,36.55,0,0,0,0
29,2023-06-30,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,122100.0,122.1,0,0,0,0
30,2023-06-23,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,101200.0,101.2,0,0,0,0
31,2023-06-16,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,89100.0,89.1,0,0,0,0
32,2023-06-09,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,81200.0,81.2,0,0,0,0
33,2023-06-02,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,64500.0,64.5,0,0,0,0
34,2023-05-26,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,121700.0,121.7,0,0,0,0
35,2023-05-19,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,50500.0,50.5,0,0,0,0
36,2023-05-12,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,48200.0,48.2,0,0,0,0
37,2023-04-28,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,52100.0,52.1,0,0,0,0
38,2023-04-21,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,106800.0,106.8,0,0,0,0
39,2023-04-14,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,141900.0,141.9,0,0,0,0
40,2023-04-07,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,81800.0,81.8,0,0,0,0
41,2023-03-31,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,81900.0,81.9,0,0,0,0
42,2023-03-24,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,83900.0,83.9,0,0,0,0
43,2023-03-17,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,91400.0,91.4,0,0,0,0
44,2023-03-10,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,99800.0,99.8,0,0,0,0
45,2023-01-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-,-,-,-
