,日付,始値,高値,安値,終値,売買高,修正後終値,信用売残,信用買残,信用倍率,逆日歩,日歩日数,貸株残,融資残
0,2023-08-25,1461.0,1486.0,1459.0,1466.0,4686100.0,1466.0,0.0,0.0,0.0,0,0,0.0,0.0
1,2023-08-24,1476.5,1481.5,1456.0,1469.0,5241900.0,1469.0,0.0,0.0,0.0,0.00,1,318300.0,86200.0
2,2023-08-23,1429.0,1482.0,1422.5,1479.5,8206300.0,1479.5,0.0,0.0,0.0,0.00,3,296300.0,83600.0
3,2023-08-22,1400.0,1430.0,1399.0,1430.0,4697500.0,1430.0,0.0,0.0,0.0,0.00,1,116700.0,46400.0
4,2023-08-21,1400.0,1418.0,1395.0,1399.0,4251100.0,1399.0,0.0,0.0,0.0,-,-,44100.0,43300.0
5,2023-08-18,1402.0,1412.0,1382.0,1388.5,3220000.0,1388.5,740000.0,2528500.0,3.42,-,-,37200.0,43500.0
6,2023-08-17,1419.5,1419.5,1378.5,1412.5,4285800.0,1412.5,0.0,0.0,0.0,-,-,46700.0,54600.0
7,2023-08-16,1401.0,1422.0,1397.5,1414.0,4007300.0,1414.0,0.0,0.0,0.0,0.00,-,67000.0,68300.0
8,2023-08-15,1424.0,1438.5,1410.5,1411.5,3236400.0,1411.5,0.0,0.0,0.0,0.00,-,62700.0,61900.0
9,2023-08-14,1427.5,1441.5,1406.5,1412.0,4118900.0,1412.0,0.0,0.0,0.0,-,-,60800.0,60300.0
10,2023-08-10,1395.5,1421.0,1389.0,1421.0,5739800.0,1421.0,778900.0,2648400.0,3.4,0.00,-,104700.0,99000.0
11,2023-08-09,1340.5,1389.0,1320.0,1384.5,11769500.0,1384.5,0.0,0.0,0.0,-,-,43000.0,104500.0
12,2023-08-08,1427.0,1443.0,1415.5,1425.0,4627600.0,1425.0,0.0,0.0,0.0,0.00,-,71100.0,71000.0
13,2023-08-07,1404.5,1416.5,1396.5,1413.5,3991200.0,1413.5,0.0,0.0,0.0,-,-,37000.0,76100.0
14,2023-08-04,1385.5,1421.0,1381.5,1416.5,4114700.0,1416.5,846400.0,3599900.0,4.25,0.00,-,80800.0,80800.0
15,2023-08-03,1404.5,1412.0,1389.5,1393.5,4133000.0,1393.5,0.0,0.0,0.0,-,-,51300.0,44000.0
16,2023-08-02,1406.0,1453.5,1397.0,1418.0,6464100.0,1418.0,0.0,0.0,0.0,-,-,63300.0,427900.0
17,2023-08-01,1411.0,1433.5,1402.5,1431.5,4868600.0,1431.5,0.0,0.0,0.0,0.00,-,67000.0,67800.0
18,2023-07-31,1408.5,1421.0,1394.5,1405.5,6249800.0,1405.5,0.0,0.0,0.0,-,-,58500.0,111800.0
19,2023-07-28,1384.5,1412.0,1351.0,1371.0,7613800.0,1371.0,870400.0,3521600.0,4.05,-,-,33000.0,118000.0
20,2023-07-27,1429.5,1432.0,1408.5,1413.0,4068200.0,1413.0,0.0,0.0,0.0,-,-,63000.0,112900.0
