,日付,始値,高値,安値,終値,売買高,修正後終値,信用売残,信用買残,信用倍率,逆日歩,日歩日数,貸株残,融資残
0,2023-09-08,1650.0,1677.0,1645.0,1671.0,120300.0,1671.0,0.0,0.0,0.0,0,0,0.0,0.0
1,2023-09-07,1720.0,1720.0,1671.0,1671.0,218500.0,1671.0,0.0,0.0,0.0,-,-,3900.0,14300.0
2,2023-09-06,1702.0,1747.0,1702.0,1729.0,132800.0,1729.0,0.0,0.0,0.0,-,-,4800.0,14200.0
3,2023-09-05,1685.0,1708.0,1672.0,1703.0,111600.0,1703.0,0.0,0.0,0.0,-,-,4500.0,14200.0
4,2023-09-04,1660.0,1688.0,1647.0,1686.0,94200.0,1686.0,0.0,0.0,0.0,-,-,4100.0,14200.0
5,2023-09-01,1673.0,1673.0,1656.0,1660.0,101300.0,1660.0,27000.0,103800.0,3.84,-,-,4200.0,14200.0
6,2023-08-31,1669.0,1692.0,1664.0,1686.0,127100.0,1686.0,0.0,0.0,0.0,0.00,-,4500.0,4500.0
7,2023-08-30,1662.0,1673.0,1657.0,1664.0,95800.0,1664.0,0.0,0.0,0.0,-,-,4000.0,4200.0
8,2023-08-29,1693.0,1694.0,1666.0,1671.0,59200.0,1671.0,0.0,0.0,0.0,-,-,4000.0,4200.0
9,2023-08-28,1655.0,1689.0,1655.0,1688.0,76700.0,1688.0,0.0,0.0,0.0,-,-,4300.0,4600.0
10,2023-08-25,1613.0,1652.0,1605.0,1637.0,93000.0,1637.0,25400.0,93800.0,3.69,0.00,-,3800.0,3800.0
11,2023-08-24,1621.0,1638.0,1613.0,1633.0,91700.0,1633.0,0.0,0.0,0.0,0.00,-,3600.0,4500.0
12,2023-08-23,1619.0,1622.0,1587.0,1622.0,141700.0,1622.0,0.0,0.0,0.0,0.00,-,3400.0,3500.0
13,2023-08-22,1621.0,1646.0,1615.0,1635.0,97900.0,1635.0,0.0,0.0,0.0,-,-,3400.0,5000.0
14,2023-08-21,1650.0,1650.0,1611.0,1617.0,126900.0,1617.0,0.0,0.0,0.0,0.00,1,3500.0,6300.0
15,2023-08-18,1678.0,1680.0,1642.0,1656.0,146100.0,1656.0,31100.0,82700.0,2.66,0.00,1,4600.0,3900.0
16,2023-08-17,1715.0,1716.0,1670.0,1684.0,152000.0,1684.0,0.0,0.0,0.0,0.00,1,4800.0,4500.0
17,2023-08-16,1805.0,1805.0,1720.0,1720.0,168300.0,1720.0,0.0,0.0,0.0,-,-,3000.0,9800.0
18,2023-08-15,1849.0,1849.0,1814.0,1817.0,114200.0,1817.0,0.0,0.0,0.0,0.00,1,3200.0,5100.0
19,2023-08-14,1836.0,1884.0,1831.0,1847.0,200600.0,1847.0,0.0,0.0,0.0,0.00,1,5400.0,4800.0
20,2023-08-10,1799.0,1799.0,1750.0,1796.0,123800.0,1796.0,25600.0,75000.0,2.93,-,-,3200.0,3500.0
21,2023-08-09,1806.0,1841.0,1775.0,1800.0,245000.0,1800.0,0.0,0.0,0.0,0.00,1,6000.0,4800.0
22,2023-08-08,1825.0,1866.0,1790.0,1818.0,153000.0,1818.0,0.0,0.0,0.0,0.00,-,2800.0,4600.0
23,2023-08-07,1800.0,1830.0,1708.0,1790.0,297000.0,1790.0,0.0,0.0,0.0,-,-,1800.0,2700.0
24,2023-08-04,1768.0,1787.0,1751.0,1769.0,61200.0,1769.0,16300.0,89900.0,5.52,0,0,0.0,0.0
25,2023-07-28,0.0,0.0,0.0,0.0,0.0,0.0,19400.0,80100.0,4.13,0,0,0.0,0.0
26,2023-07-21,0.0,0.0,0.0,0.0,0.0,0.0,19800.0,78500.0,3.96,0,0,0.0,0.0
27,2023-07-14,0.0,0.0,0.0,0.0,0.0,0.0,18700.0,75800.0,4.05,0,0,0.0,0.0
28,2023-07-07,0.0,0.0,0.0,0.0,0.0,0.0,20300.0,78400.0,3.86,0,0,0.0,0.0
29,2023-06-30,0.0,0.0,0.0,0.0,0.0,0.0,16100.0,85800.0,5.33,0,0,0.0,0.0
30,2023-06-23,0.0,0.0,0.0,0.0,0.0,0.0,21300.0,101300.0,4.76,0,0,0.0,0.0
31,2023-06-16,0.0,0.0,0.0,0.0,0.0,0.0,20100.0,99100.0,4.93,0,0,0.0,0.0
32,2023-06-09,0.0,0.0,0.0,0.0,0.0,0.0,22500.0,101900.0,4.53,0,0,0.0,0.0
33,2023-06-02,0.0,0.0,0.0,0.0,0.0,0.0,22400.0,98400.0,4.39,0,0,0.0,0.0
34,2023-05-26,0.0,0.0,0.0,0.0,0.0,0.0,28300.0,101400.0,3.58,0,0,0.0,0.0
35,2023-05-19,0.0,0.0,0.0,0.0,0.0,0.0,21800.0,79200.0,3.63,0,0,0.0,0.0
36,2023-05-12,0.0,0.0,0.0,0.0,0.0,0.0,43400.0,59900.0,1.38,0,0,0.0,0.0
37,2023-04-28,0.0,0.0,0.0,0.0,0.0,0.0,7400.0,68000.0,9.19,0,0,0.0,0.0
38,2023-04-21,0.0,0.0,0.0,0.0,0.0,0.0,10200.0,68200.0,6.69,0,0,0.0,0.0
39,2023-04-14,0.0,0.0,0.0,0.0,0.0,0.0,7400.0,66100.0,8.93,0,0,0.0,0.0
40,2023-04-07,0.0,0.0,0.0,0.0,0.0,0.0,18600.0,68500.0,3.68,0,0,0.0,0.0
41,2023-03-31,0.0,0.0,0.0,0.0,0.0,0.0,18200.0,56600.0,3.11,0,0,0.0,0.0
42,2023-03-24,0.0,0.0,0.0,0.0,0.0,0.0,18900.0,91200.0,4.83,0,0,0.0,0.0
43,2023-03-17,0.0,0.0,0.0,0.0,0.0,0.0,18800.0,97700.0,5.2,0,0,0.0,0.0
44,2023-03-10,0.0,0.0,0.0,0.0,0.0,0.0,20100.0,84100.0,4.18,0,0,0.0,0.0
