,日付,始値,高値,安値,終値,売買高,修正後終値,信用売残,信用買残,信用倍率,逆日歩,日歩日数,貸株残,融資残
0,2023-09-15,618.1,635.5,618.0,626.1,19436600.0,626.1,0.0,0.0,0.0,0,0,0.0,0.0
1,2023-09-14,595.8,615.0,595.3,615.0,14761800.0,615.0,0.0,0.0,0.0,0.00,1,596800.0,226400.0
2,2023-09-13,596.7,597.7,591.1,594.2,7609500.0,594.2,0.0,0.0,0.0,0.00,-,418300.0,412200.0
3,2023-09-12,579.0,594.6,578.5,594.1,11173500.0,594.1,0.0,0.0,0.0,0.00,-,385600.0,380900.0
4,2023-09-11,580.7,580.7,571.0,575.7,8121200.0,575.7,0.0,0.0,0.0,-,-,345500.0,429400.0
5,2023-09-08,581.7,588.3,577.9,580.1,10630600.0,580.1,5226400.0,11346000.0,2.17,-,-,359300.0,544900.0
6,2023-09-07,588.0,595.8,584.8,588.4,9492800.0,588.4,0.0,0.0,0.0,0.00,-,381300.0,378900.0
7,2023-09-06,577.5,592.6,576.1,589.6,13074000.0,589.6,0.0,0.0,0.0,0.00,-,386800.0,377500.0
8,2023-09-05,577.8,577.9,567.1,573.9,7795600.0,573.9,0.0,0.0,0.0,-,-,380600.0,386800.0
9,2023-09-04,568.7,576.1,567.9,576.1,9055300.0,576.1,0.0,0.0,0.0,0.00,-,412000.0,402000.0
10,2023-09-01,569.6,569.7,563.0,565.0,10392800.0,565.0,5145000.0,12153900.0,2.36,-,-,379800.0,366000.0
11,2023-08-31,565.5,573.7,563.3,572.7,10106400.0,572.7,0.0,0.0,0.0,0.00,-,423800.0,417500.0
12,2023-08-30,567.0,567.6,562.3,564.3,9319200.0,564.3,0.0,0.0,0.0,0.00,-,382600.0,378600.0
13,2023-08-29,564.1,565.0,558.8,559.3,7672000.0,559.3,0.0,0.0,0.0,-,-,377000.0,513600.0
14,2023-08-28,560.1,566.3,557.3,561.7,7185900.0,561.7,0.0,0.0,0.0,0.00,-,369900.0,365100.0
15,2023-08-25,548.2,554.2,545.5,552.3,5407100.0,552.3,5091600.0,13098700.0,2.57,0.00,-,370500.0,362500.0
16,2023-08-24,552.7,553.4,544.5,551.0,8435800.0,551.0,0.0,0.0,0.0,-,-,370700.0,485400.0
17,2023-08-23,551.0,561.5,548.3,557.5,8258200.0,557.5,0.0,0.0,0.0,0.00,-,398700.0,389700.0
18,2023-08-22,559.2,559.8,551.3,557.1,8854900.0,557.1,0.0,0.0,0.0,0.00,-,398800.0,390900.0
19,2023-08-21,557.4,560.8,550.1,551.9,8011600.0,551.9,0.0,0.0,0.0,0.00,-,370200.0,358200.0
20,2023-08-18,550.9,560.5,550.1,557.4,9996700.0,557.4,5205300.0,12709700.0,2.44,-,-,381200.0,393000.0
