,日付,始値,高値,安値,終値,売買高,修正後終値,信用売残,信用買残,信用倍率,逆日歩,日歩日数,貸株残,融資残
0,2023-09-08,1374.0,1388.0,1363.0,1368.0,29800.0,1368.0,0.0,0.0,0.0,0,0,0.0,0.0
1,2023-09-07,1362.0,1395.0,1358.0,1381.0,36100.0,1381.0,0.0,0.0,0.0,-,-,0.0,6600.0
2,2023-09-06,1364.0,1383.0,1360.0,1373.0,39600.0,1373.0,0.0,0.0,0.0,-,-,0.0,6200.0
3,2023-09-05,1364.0,1379.0,1361.0,1372.0,56600.0,1372.0,0.0,0.0,0.0,-,-,0.0,6200.0
4,2023-09-04,1318.0,1365.0,1318.0,1364.0,78100.0,1364.0,0.0,0.0,0.0,-,-,500.0,8100.0
5,2023-09-01,1286.0,1312.0,1277.0,1307.0,45600.0,1307.0,900.0,133400.0,148.22,-,-,0.0,5600.0
6,2023-08-31,1297.0,1309.0,1292.0,1292.0,27500.0,1292.0,0.0,0.0,0.0,-,-,1000.0,5400.0
7,2023-08-30,1311.0,1311.0,1291.0,1297.0,25800.0,1297.0,0.0,0.0,0.0,-,-,1000.0,5400.0
8,2023-08-29,1295.0,1315.0,1290.0,1306.0,44600.0,1306.0,0.0,0.0,0.0,-,-,1000.0,5200.0
9,2023-08-28,1289.0,1304.0,1287.0,1296.0,40700.0,1296.0,0.0,0.0,0.0,-,-,1100.0,5200.0
10,2023-08-25,1273.0,1286.0,1265.0,1270.0,45100.0,1270.0,1500.0,153000.0,102.0,-,-,1100.0,5200.0
11,2023-08-24,1274.0,1290.0,1260.0,1288.0,71300.0,1288.0,0.0,0.0,0.0,-,-,1100.0,4000.0
12,2023-08-23,1215.0,1250.0,1212.0,1244.0,39400.0,1244.0,0.0,0.0,0.0,-,-,1000.0,3100.0
13,2023-08-22,1205.0,1214.0,1203.0,1211.0,41600.0,1211.0,0.0,0.0,0.0,-,-,1000.0,3100.0
14,2023-08-21,1207.0,1219.0,1204.0,1205.0,45700.0,1205.0,0.0,0.0,0.0,-,-,1200.0,3100.0
15,2023-08-18,1201.0,1214.0,1195.0,1209.0,40000.0,1209.0,1500.0,136900.0,91.27,-,-,0.0,2100.0
16,2023-08-17,1209.0,1210.0,1186.0,1210.0,52500.0,1210.0,0.0,0.0,0.0,-,-,1000.0,2100.0
17,2023-08-16,1235.0,1235.0,1212.0,1215.0,38300.0,1215.0,0.0,0.0,0.0,-,-,700.0,2100.0
18,2023-08-15,1235.0,1246.0,1232.0,1242.0,34700.0,1242.0,0.0,0.0,0.0,-,-,1300.0,2200.0
19,2023-08-14,1235.0,1253.0,1227.0,1235.0,39300.0,1235.0,0.0,0.0,0.0,-,-,1300.0,200.0
20,2023-08-10,1204.0,1235.0,1204.0,1233.0,33400.0,1233.0,5500.0,119800.0,21.78,-,-,1300.0,1500.0
21,2023-08-09,1239.0,1239.0,1213.0,1213.0,60000.0,1213.0,0.0,0.0,0.0,-,-,1300.0,400.0
22,2023-08-08,1266.0,1269.0,1233.0,1237.0,67400.0,1237.0,0.0,0.0,0.0,-,-,1300.0,4400.0
23,2023-08-07,1277.0,1331.0,1261.0,1269.0,155900.0,1269.0,0.0,0.0,0.0,-,-,4500.0,6800.0
24,2023-08-04,1338.0,1375.0,1208.0,1217.0,251600.0,1217.0,10500.0,111500.0,10.62,0,0,0.0,0.0
25,2023-07-28,0.0,0.0,0.0,0.0,0.0,0.0,11200.0,134500.0,12.01,0,0,0.0,0.0
26,2023-07-21,0.0,0.0,0.0,0.0,0.0,0.0,10700.0,123800.0,11.57,0,0,0.0,0.0
27,2023-07-14,0.0,0.0,0.0,0.0,0.0,0.0,10100.0,126300.0,12.5,0,0,0.0,0.0
28,2023-07-07,0.0,0.0,0.0,0.0,0.0,0.0,10100.0,138800.0,13.74,0,0,0.0,0.0
29,2023-06-30,0.0,0.0,0.0,0.0,0.0,0.0,11200.0,135600.0,12.11,0,0,0.0,0.0
30,2023-06-23,0.0,0.0,0.0,0.0,0.0,0.0,10500.0,121500.0,11.57,0,0,0.0,0.0
31,2023-06-16,0.0,0.0,0.0,0.0,0.0,0.0,10500.0,125200.0,11.92,0,0,0.0,0.0
32,2023-06-09,0.0,0.0,0.0,0.0,0.0,0.0,13900.0,130200.0,9.37,0,0,0.0,0.0
33,2023-06-02,0.0,0.0,0.0,0.0,0.0,0.0,14600.0,126200.0,8.64,0,0,0.0,0.0
34,2023-05-26,0.0,0.0,0.0,0.0,0.0,0.0,14900.0,126400.0,8.48,0,0,0.0,0.0
35,2023-05-19,0.0,0.0,0.0,0.0,0.0,0.0,12700.0,157500.0,12.4,0,0,0.0,0.0
36,2023-05-12,0.0,0.0,0.0,0.0,0.0,0.0,3400.0,203700.0,59.91,0,0,0.0,0.0
37,2023-04-28,0.0,0.0,0.0,0.0,0.0,0.0,400.0,150200.0,375.5,0,0,0.0,0.0
38,2023-04-21,0.0,0.0,0.0,0.0,0.0,0.0,300.0,158900.0,529.67,0,0,0.0,0.0
39,2023-04-14,0.0,0.0,0.0,0.0,0.0,0.0,100.0,152300.0,1523.0,0,0,0.0,0.0
40,2023-04-07,0.0,0.0,0.0,0.0,0.0,0.0,200.0,154400.0,772.0,0,0,0.0,0.0
41,2023-03-31,0.0,0.0,0.0,0.0,0.0,0.0,2600.0,150100.0,57.73,0,0,0.0,0.0
42,2023-03-24,0.0,0.0,0.0,0.0,0.0,0.0,300.0,151500.0,505.0,0,0,0.0,0.0
43,2023-03-17,0.0,0.0,0.0,0.0,0.0,0.0,300.0,158600.0,528.67,0,0,0.0,0.0
44,2023-03-10,0.0,0.0,0.0,0.0,0.0,0.0,1200.0,153500.0,127.92,0,0,0.0,0.0
