,日付,始値,高値,安値,終値,売買高,修正後終値,信用売残,信用買残,信用倍率,逆日歩,日歩日数,貸株残,融資残
0,2023-09-15,5709.0,5783.0,5654.0,5762.0,1914100.0,5762.0,0.0,0.0,0.0,0,0,0.0,0.0
1,2023-09-14,5710.0,5756.0,5680.0,5701.0,1642200.0,5701.0,0.0,0.0,0.0,-,-,13200.0,16100.0
2,2023-09-13,5742.0,5795.0,5704.0,5725.0,843700.0,5725.0,0.0,0.0,0.0,-,-,12000.0,16000.0
3,2023-09-12,5735.0,5757.0,5680.0,5747.0,934000.0,5747.0,0.0,0.0,0.0,-,-,12600.0,18200.0
4,2023-09-11,5674.0,5739.0,5664.0,5708.0,1127800.0,5708.0,0.0,0.0,0.0,-,-,12100.0,18100.0
5,2023-09-08,5731.0,5759.0,5645.0,5660.0,1441900.0,5660.0,325000.0,676200.0,2.08,-,-,11900.0,20600.0
6,2023-09-07,5821.0,5848.0,5733.0,5764.0,1260800.0,5764.0,0.0,0.0,0.0,-,-,12700.0,19400.0
7,2023-09-06,5822.0,5876.0,5795.0,5876.0,1194000.0,5876.0,0.0,0.0,0.0,-,-,13100.0,17600.0
8,2023-09-05,5771.0,5878.0,5751.0,5845.0,1248100.0,5845.0,0.0,0.0,0.0,-,-,13200.0,18500.0
9,2023-09-04,5738.0,5775.0,5712.0,5755.0,1035500.0,5755.0,0.0,0.0,0.0,-,-,12300.0,17500.0
10,2023-09-01,5721.0,5769.0,5700.0,5748.0,1096100.0,5748.0,337800.0,639600.0,1.89,-,-,15200.0,20900.0
11,2023-08-31,5756.0,5784.0,5691.0,5721.0,1856000.0,5721.0,0.0,0.0,0.0,-,-,16800.0,23700.0
12,2023-08-30,5708.0,5789.0,5701.0,5763.0,2416700.0,5763.0,0.0,0.0,0.0,-,-,17700.0,18300.0
13,2023-08-29,5637.0,5662.0,5576.0,5640.0,1259600.0,5640.0,0.0,0.0,0.0,-,-,18000.0,19800.0
14,2023-08-28,5465.0,5672.0,5463.0,5631.0,2048200.0,5631.0,0.0,0.0,0.0,-,-,16200.0,21200.0
15,2023-08-25,5420.0,5471.0,5391.0,5404.0,1602100.0,5404.0,274800.0,771400.0,2.81,-,-,18400.0,31300.0
16,2023-08-24,5525.0,5554.0,5471.0,5552.0,1066400.0,5552.0,0.0,0.0,0.0,-,-,19300.0,17800.0
17,2023-08-23,5430.0,5507.0,5390.0,5500.0,1046000.0,5500.0,0.0,0.0,0.0,-,-,17300.0,17700.0
18,2023-08-22,5406.0,5444.0,5325.0,5436.0,2134200.0,5436.0,0.0,0.0,0.0,-,-,16300.0,17200.0
19,2023-08-21,5475.0,5485.0,5333.0,5352.0,2116800.0,5352.0,0.0,0.0,0.0,-,-,17700.0,30100.0
20,2023-08-18,5476.0,5574.0,5452.0,5494.0,2000600.0,5494.0,321500.0,721100.0,2.24,-,-,14100.0,27500.0
21,2023-08-17,5575.0,5605.0,5520.0,5605.0,1514600.0,5605.0,0.0,0.0,0.0,-,-,14100.0,27400.0
22,2023-08-16,5662.0,5693.0,5594.0,5609.0,1507700.0,5609.0,0.0,0.0,0.0,-,-,15500.0,27100.0
23,2023-08-15,5784.0,5858.0,5752.0,5768.0,956400.0,5768.0,0.0,0.0,0.0,0,0,0.0,0.0
24,2023-08-14,5911.0,5911.0,5720.0,5724.0,1318400.0,5724.0,0.0,0.0,0.0,0,0,0.0,0.0
25,2023-08-10,0.0,0.0,0.0,0.0,0.0,0.0,386000.0,633800.0,1.64,0,0,0.0,0.0
26,2023-08-04,0.0,0.0,0.0,0.0,0.0,0.0,410500.0,634100.0,1.54,0,0,0.0,0.0
27,2023-07-28,0.0,0.0,0.0,0.0,0.0,0.0,493000.0,419000.0,0.85,0,0,0.0,0.0
28,2023-07-21,0.0,0.0,0.0,0.0,0.0,0.0,512100.0,494400.0,0.97,0,0,0.0,0.0
29,2023-07-14,0.0,0.0,0.0,0.0,0.0,0.0,527000.0,507800.0,0.96,0,0,0.0,0.0
30,2023-07-07,0.0,0.0,0.0,0.0,0.0,0.0,643800.0,448400.0,0.7,0,0,0.0,0.0
31,2023-06-30,0.0,0.0,0.0,0.0,0.0,0.0,694100.0,241000.0,0.35,0,0,0.0,0.0
32,2023-06-23,0.0,0.0,0.0,0.0,0.0,0.0,693800.0,250400.0,0.36,0,0,0.0,0.0
33,2023-06-16,0.0,0.0,0.0,0.0,0.0,0.0,762300.0,199500.0,0.26,0,0,0.0,0.0
34,2023-06-09,0.0,0.0,0.0,0.0,0.0,0.0,803600.0,230600.0,0.29,0,0,0.0,0.0
35,2023-06-02,0.0,0.0,0.0,0.0,0.0,0.0,801600.0,235900.0,0.29,0,0,0.0,0.0
36,2023-05-26,0.0,0.0,0.0,0.0,0.0,0.0,797400.0,178700.0,0.22,0,0,0.0,0.0
37,2023-05-19,0.0,0.0,0.0,0.0,0.0,0.0,816900.0,186100.0,0.23,0,0,0.0,0.0
38,2023-05-12,0.0,0.0,0.0,0.0,0.0,0.0,745100.0,171200.0,0.23,0,0,0.0,0.0
39,2023-04-28,0.0,0.0,0.0,0.0,0.0,0.0,745500.0,310900.0,0.42,0,0,0.0,0.0
40,2023-04-21,0.0,0.0,0.0,0.0,0.0,0.0,781500.0,284400.0,0.36,0,0,0.0,0.0
41,2023-04-14,0.0,0.0,0.0,0.0,0.0,0.0,819100.0,278600.0,0.34,0,0,0.0,0.0
42,2023-04-07,0.0,0.0,0.0,0.0,0.0,0.0,831800.0,287000.0,0.35,0,0,0.0,0.0
43,2023-03-31,0.0,0.0,0.0,0.0,0.0,0.0,869600.0,211300.0,0.24,0,0,0.0,0.0
44,2023-03-24,0.0,0.0,0.0,0.0,0.0,0.0,828600.0,243400.0,0.29,0,0,0.0,0.0
