,日付,始値,高値,安値,終値,売買高,修正後終値,信用売残,信用買残,信用倍率,逆日歩,日歩日数,貸株残,融資残
0,2023-09-15,2260.0,2286.5,2255.0,2275.0,1801200.0,2275.0,0.0,0.0,0.0,0,0,0.0,0.0
1,2023-09-14,2235.0,2254.0,2232.0,2249.0,933100.0,2249.0,0.0,0.0,0.0,0.00,1,31800.0,17300.0
2,2023-09-13,2236.0,2245.0,2227.0,2231.5,1078800.0,2231.5,0.0,0.0,0.0,-,-,28700.0,32900.0
3,2023-09-12,2231.0,2250.0,2230.5,2248.0,881500.0,2248.0,0.0,0.0,0.0,0.00,1,29800.0,15800.0
4,2023-09-11,2263.0,2266.5,2232.5,2241.5,1188600.0,2241.5,0.0,0.0,0.0,-,-,28800.0,35600.0
5,2023-09-08,2215.5,2238.0,2213.0,2218.0,1310400.0,2218.0,134500.0,175400.0,1.3,0.00,1,31700.0,25300.0
6,2023-09-07,2227.0,2250.0,2222.5,2236.5,1134100.0,2236.5,0.0,0.0,0.0,0.00,1,36100.0,13300.0
7,2023-09-06,2218.5,2229.5,2215.0,2227.0,1091700.0,2227.0,0.0,0.0,0.0,0.00,3,38800.0,14400.0
8,2023-09-05,2233.5,2241.5,2209.5,2224.5,1093100.0,2224.5,0.0,0.0,0.0,0.00,1,34200.0,15200.0
9,2023-09-04,2227.0,2249.0,2217.0,2242.5,1125000.0,2242.5,0.0,0.0,0.0,0.00,1,39000.0,27300.0
10,2023-09-01,2220.0,2252.5,2215.5,2242.0,1235900.0,2242.0,137500.0,159900.0,1.16,0.05,1,30200.0,14400.0
11,2023-08-31,2243.5,2272.0,2231.0,2236.0,3824500.0,2236.0,0.0,0.0,0.0,0.00,-,29600.0,25800.0
12,2023-08-30,2239.0,2252.5,2230.5,2243.0,833700.0,2243.0,0.0,0.0,0.0,0.15,3,46200.0,26800.0
13,2023-08-29,2241.0,2250.0,2231.5,2239.5,568900.0,2239.5,0.0,0.0,0.0,0.05,1,45800.0,24900.0
14,2023-08-28,2220.0,2241.0,2212.0,2240.0,563400.0,2240.0,0.0,0.0,0.0,0.05,1,45300.0,25800.0
15,2023-08-25,2195.0,2209.5,2190.5,2205.0,686900.0,2205.0,131000.0,147700.0,1.13,0.05,1,42900.0,14500.0
16,2023-08-24,2200.0,2221.0,2183.5,2211.0,621400.0,2211.0,0.0,0.0,0.0,0.00,1,37100.0,34900.0
17,2023-08-23,2180.0,2207.0,2177.0,2207.0,574800.0,2207.0,0.0,0.0,0.0,0.15,3,42000.0,27600.0
18,2023-08-22,2209.0,2219.0,2188.5,2209.5,1219800.0,2209.5,0.0,0.0,0.0,0.05,1,45300.0,29500.0
19,2023-08-21,2184.0,2210.0,2178.5,2187.0,771400.0,2187.0,0.0,0.0,0.0,0.05,1,40900.0,22500.0
20,2023-08-18,2229.0,2235.0,2171.5,2178.0,1431400.0,2178.0,134900.0,173400.0,1.29,-,-,31500.0,35000.0
21,2023-08-17,2185.0,2189.5,2154.5,2179.0,1074000.0,2179.0,0.0,0.0,0.0,0.05,1,44900.0,24600.0
22,2023-08-16,2229.5,2233.5,2210.0,2212.0,829600.0,2212.0,0.0,0.0,0.0,0.15,3,47000.0,16700.0
23,2023-08-15,2242.5,2244.5,2225.5,2235.0,479600.0,2235.0,0.0,0.0,0.0,0,0,0.0,0.0
24,2023-08-14,2264.5,2270.0,2224.0,2229.5,774000.0,2229.5,0.0,0.0,0.0,0,0,0.0,0.0
25,2023-08-10,0.0,0.0,0.0,0.0,0.0,0.0,156200.0,236400.0,1.51,0,0,0.0,0.0
26,2023-08-04,0.0,0.0,0.0,0.0,0.0,0.0,130200.0,141700.0,1.09,0,0,0.0,0.0
27,2023-07-28,0.0,0.0,0.0,0.0,0.0,0.0,100300.0,187000.0,1.86,0,0,0.0,0.0
28,2023-07-21,0.0,0.0,0.0,0.0,0.0,0.0,77000.0,184200.0,2.39,0,0,0.0,0.0
29,2023-07-14,0.0,0.0,0.0,0.0,0.0,0.0,87300.0,190400.0,2.18,0,0,0.0,0.0
30,2023-07-07,0.0,0.0,0.0,0.0,0.0,0.0,85400.0,187800.0,2.2,0,0,0.0,0.0
