,日付,始値,高値,安値,終値,売買高,修正後終値,信用売残,信用買残,信用倍率,逆日歩,日歩日数,貸株残,融資残
0,2023-08-10,4836.0,4844.0,4816.0,4836.0,2078300.0,4836.0,0.0,0.0,0.0,0,0,0.0,0.0
1,2023-08-09,4844.0,4861.0,4814.0,4831.0,1523800.0,4831.0,0.0,0.0,0.0,-,-,4200.0,69200.0
2,2023-08-08,4882.0,4888.0,4845.0,4854.0,1403900.0,4854.0,0.0,0.0,0.0,-,-,5000.0,65400.0
3,2023-08-07,4847.0,4862.0,4824.0,4845.0,1433000.0,4845.0,0.0,0.0,0.0,-,-,5200.0,64800.0
4,2023-08-04,4895.0,4900.0,4843.0,4859.0,2719600.0,4859.0,77400.0,1099400.0,14.2,-,-,7400.0,60400.0
5,2023-08-03,4910.0,5004.0,4888.0,4965.0,3058300.0,4965.0,0.0,0.0,0.0,-,-,13200.0,53000.0
6,2023-08-02,5134.0,5182.0,5113.0,5162.0,1421300.0,5162.0,0.0,0.0,0.0,-,-,29900.0,49000.0
7,2023-08-01,5110.0,5152.0,5101.0,5140.0,1118900.0,5140.0,0.0,0.0,0.0,-,-,23700.0,53700.0
8,2023-07-31,5100.0,5145.0,5089.0,5136.0,1281800.0,5136.0,0.0,0.0,0.0,-,-,55400.0,56000.0
9,2023-07-28,5052.0,5077.0,5011.0,5077.0,2632900.0,5077.0,126300.0,1091200.0,8.64,-,-,46100.0,61600.0
10,2023-07-27,5071.0,5094.0,5046.0,5088.0,748900.0,5088.0,0.0,0.0,0.0,-,-,22800.0,62400.0
11,2023-07-26,5100.0,5114.0,5070.0,5098.0,842500.0,5098.0,0.0,0.0,0.0,-,-,19600.0,62800.0
12,2023-07-25,5054.0,5080.0,5044.0,5080.0,727800.0,5080.0,0.0,0.0,0.0,-,-,16600.0,65800.0
13,2023-07-24,5079.0,5084.0,5049.0,5060.0,899700.0,5060.0,0.0,0.0,0.0,-,-,16900.0,65500.0
14,2023-07-21,5031.0,5064.0,5007.0,5064.0,1166900.0,5064.0,105200.0,1165200.0,11.08,-,-,18100.0,69400.0
15,2023-07-20,5022.0,5031.0,4990.0,4997.0,883900.0,4997.0,0.0,0.0,0.0,-,-,11600.0,72300.0
16,2023-07-19,4985.0,5002.0,4963.0,5002.0,932800.0,5002.0,0.0,0.0,0.0,-,-,11800.0,73000.0
17,2023-07-18,4921.0,4959.0,4918.0,4959.0,824000.0,4959.0,0.0,0.0,0.0,-,-,12400.0,75600.0
18,2023-07-14,4893.0,4929.0,4880.0,4921.0,913200.0,4921.0,94300.0,1237400.0,13.12,-,-,8600.0,75500.0
19,2023-07-13,4898.0,4904.0,4865.0,4893.0,1305100.0,4893.0,0.0,0.0,0.0,-,-,7500.0,70500.0
20,2023-07-12,4883.0,4898.0,4818.0,4880.0,1641700.0,4880.0,0.0,0.0,0.0,-,-,7000.0,70200.0
21,2023-07-11,4951.0,4955.0,4885.0,4897.0,1151100.0,4897.0,0.0,0.0,0.0,-,-,7000.0,66100.0
22,2023-07-10,4976.0,4980.0,4901.0,4918.0,1402900.0,4918.0,0.0,0.0,0.0,0,0,0.0,0.0
23,2023-07-07,4959.0,4987.0,4921.0,4959.0,1294900.0,4959.0,102000.0,1113600.0,10.92,0,0,0.0,0.0
24,2023-07-06,5050.0,5054.0,4986.0,5002.0,1371600.0,5002.0,0.0,0.0,0.0,0,0,0.0,0.0
25,2023-06-30,0.0,0.0,0.0,0.0,0.0,0.0,143800.0,898400.0,6.25,0,0,0.0,0.0
26,2023-06-23,0.0,0.0,0.0,0.0,0.0,0.0,356100.0,731300.0,2.05,0,0,0.0,0.0
27,2023-06-16,0.0,0.0,0.0,0.0,0.0,0.0,122100.0,689200.0,5.64,0,0,0.0,0.0
28,2023-06-09,0.0,0.0,0.0,0.0,0.0,0.0,124800.0,623800.0,5.0,0,0,0.0,0.0
29,2023-06-02,0.0,0.0,0.0,0.0,0.0,0.0,110400.0,556200.0,5.04,0,0,0.0,0.0
30,2023-05-26,0.0,0.0,0.0,0.0,0.0,0.0,96300.0,613100.0,6.37,0,0,0.0,0.0
31,2023-05-19,0.0,0.0,0.0,0.0,0.0,0.0,90900.0,619400.0,6.81,0,0,0.0,0.0
32,2023-05-12,0.0,0.0,0.0,0.0,0.0,0.0,105000.0,515600.0,4.91,0,0,0.0,0.0
33,2023-04-28,0.0,0.0,0.0,0.0,0.0,0.0,101500.0,539500.0,5.32,0,0,0.0,0.0
34,2023-04-21,0.0,0.0,0.0,0.0,0.0,0.0,92800.0,482500.0,5.2,0,0,0.0,0.0
35,2023-04-14,0.0,0.0,0.0,0.0,0.0,0.0,91300.0,476800.0,5.22,0,0,0.0,0.0
36,2023-04-07,0.0,0.0,0.0,0.0,0.0,0.0,72800.0,546500.0,7.51,0,0,0.0,0.0
37,2023-03-31,0.0,0.0,0.0,0.0,0.0,0.0,111800.0,472200.0,4.22,0,0,0.0,0.0
38,2023-03-24,0.0,0.0,0.0,0.0,0.0,0.0,113400.0,471700.0,4.16,0,0,0.0,0.0
39,2023-03-17,0.0,0.0,0.0,0.0,0.0,0.0,109700.0,466700.0,4.25,0,0,0.0,0.0
40,2023-03-10,0.0,0.0,0.0,0.0,0.0,0.0,172900.0,408400.0,2.36,0,0,0.0,0.0
41,2023-03-03,0.0,0.0,0.0,0.0,0.0,0.0,172800.0,442900.0,2.56,0,0,0.0,0.0
42,2023-02-24,0.0,0.0,0.0,0.0,0.0,0.0,176200.0,506000.0,2.87,0,0,0.0,0.0
43,2023-02-17,0.0,0.0,0.0,0.0,0.0,0.0,158500.0,390500.0,2.46,0,0,0.0,0.0
