,日付,始値,高値,安値,終値,売買高,修正後終値,信用売残,信用買残,信用倍率,逆日歩,日歩日数,貸株残,融資残
0,2023-08-10,2568.5,2626.0,2568.5,2626.0,2406000.0,2626.0,0.0,0.0,0.0,0,0,0.0,0.0
1,2023-08-09,2620.0,2621.0,2567.5,2567.5,2578800.0,2567.5,0.0,0.0,0.0,0.00,-,108900.0,83700.0
2,2023-08-08,2633.0,2670.0,2627.0,2631.5,2327400.0,2631.5,0.0,0.0,0.0,0.00,-,129500.0,105300.0
3,2023-08-07,2601.5,2623.5,2564.0,2609.5,3486100.0,2609.5,0.0,0.0,0.0,0.00,-,105300.0,78700.0
4,2023-08-04,2640.0,2680.5,2629.5,2664.5,2315200.0,2664.5,459100.0,2379700.0,5.18,0.00,-,108200.0,80900.0
5,2023-08-03,2703.0,2720.0,2640.0,2663.0,4079500.0,2663.0,0.0,0.0,0.0,-,-,110300.0,138400.0
6,2023-08-02,2733.5,2806.0,2662.0,2692.5,11497800.0,2692.5,0.0,0.0,0.0,-,-,178200.0,169700.0
7,2023-08-01,2707.0,2751.5,2695.5,2751.5,4360400.0,2751.5,0.0,0.0,0.0,0.00,-,151900.0,142900.0
8,2023-07-31,2671.0,2713.5,2664.0,2686.5,3732100.0,2686.5,0.0,0.0,0.0,0.00,-,161600.0,155600.0
9,2023-07-28,2610.0,2680.5,2568.5,2619.0,4453300.0,2619.0,462600.0,1348600.0,2.92,0.00,-,121800.0,114000.0
10,2023-07-27,2690.0,2698.0,2653.5,2672.0,2480400.0,2672.0,0.0,0.0,0.0,0.00,-,139000.0,131300.0
11,2023-07-26,2663.0,2680.5,2635.0,2668.5,2414200.0,2668.5,0.0,0.0,0.0,0.00,-,128300.0,119100.0
12,2023-07-25,2710.0,2738.5,2683.5,2721.0,3107100.0,2721.0,0.0,0.0,0.0,0.00,-,141800.0,128900.0
