,Unnamed: 0_x,日付,始値,高値,安値,終値,売買高,修正後終値,信用売残,信用買残,信用倍率,逆日歩,日歩日数,貸株残,融資残,Unnamed: 0_y,累積始値,累積高値,累積安値,累積終値,累積売買高,累積修正後終値,累積信用売残,累積信用買残,累積信用倍率,累積逆日歩,累積日歩日数,累積貸株残,累積融資残,_merge
0,0.0,2023-08-10,2313.5,2349.5,2292.0,2340.0,10851000.0,2340.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,left_only
1,1.0,2023-08-09,2370.0,2370.5,2310.5,2325.5,11031500.0,2325.5,0.0,0.0,0.0,-,-,7400.0,228300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,left_only
2,2.0,2023-08-08,2408.0,2409.0,2376.0,2378.0,9518600.0,2378.0,0.0,0.0,0.0,-,-,12100.0,222100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,left_only
3,3.0,2023-08-07,2391.0,2393.5,2365.5,2372.5,6867200.0,2372.5,0.0,0.0,0.0,-,-,6900.0,222700.0,0.0,2391.0,2393.5,2365.5,2372.5,6867200.0,2372.5,0.0,0.0,0.0,0,0,0.0,0.0,both
4,4.0,2023-08-04,2380.5,2401.5,2371.5,2391.0,8516500.0,2391.0,1222300.0,7406300.0,6.06,-,-,5700.0,188100.0,1.0,2380.5,2401.5,2371.5,2391.0,8516500.0,2391.0,0.0,0.0,0.0,-,-,5700.0,188100.0,both
5,5.0,2023-08-03,2397.0,2403.0,2360.0,2365.0,12208400.0,2365.0,0.0,0.0,0.0,-,-,10000.0,248500.0,2.0,2397.0,2403.0,2360.0,2365.0,12208400.0,2365.0,0.0,0.0,0.0,-,-,10000.0,248500.0,both
6,6.0,2023-08-02,2406.0,2433.0,2380.0,2382.5,13351700.0,2382.5,0.0,0.0,0.0,-,-,26900.0,283400.0,3.0,2406.0,2433.0,2380.0,2382.5,13351700.0,2382.5,0.0,0.0,0.0,-,-,26900.0,283400.0,both
7,7.0,2023-08-01,2415.0,2451.5,2391.0,2424.5,19229000.0,2424.5,0.0,0.0,0.0,-,-,31700.0,234600.0,4.0,2415.0,2451.5,2391.0,2424.5,19229000.0,2424.5,0.0,0.0,0.0,-,-,31700.0,234600.0,both
8,8.0,2023-07-31,2415.0,2447.0,2366.0,2404.0,23270700.0,2404.0,0.0,0.0,0.0,-,-,37700.0,172300.0,5.0,2415.0,2447.0,2366.0,2404.0,23270700.0,2404.0,0.0,0.0,0.0,-,-,37700.0,172300.0,both
9,9.0,2023-07-28,2300.0,2379.0,2262.5,2379.0,34779100.0,2379.0,1630000.0,6164300.0,3.78,-,-,29300.0,132300.0,6.0,2300.0,2379.0,2262.5,2379.0,34779100.0,2379.0,0.0,0.0,0.0,-,-,29300.0,132300.0,both
10,10.0,2023-07-27,2255.0,2275.0,2240.5,2270.0,10899500.0,2270.0,0.0,0.0,0.0,-,-,23100.0,127100.0,7.0,2255.0,2275.0,2240.5,2270.0,10899500.0,2270.0,0.0,0.0,0.0,-,-,23100.0,127100.0,both
