,日付,始値,高値,安値,終値,売買高,修正後終値,信用売残,信用買残,信用倍率,逆日歩,日歩日数,貸株残,融資残
0,2023-08-10,1680.0,1718.0,1665.0,1692.0,556800.0,1692.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2023-08-09,1663.0,1684.0,1659.0,1668.0,216100.0,1668.0,0.0,0.0,0.0,0.05,1.0,685800.0,187500.0
2,2023-08-08,1726.0,1726.0,1668.0,1680.0,243400.0,1680.0,0.0,0.0,0.0,0.2,4.0,657400.0,180800.0
3,2023-08-07,1677.0,1739.0,1676.0,1726.0,323000.0,1726.0,0.0,0.0,0.0,0.05,1.0,655400.0,176700.0
4,2023-08-04,1675.0,1703.0,1663.0,1692.0,211700.0,1692.0,1113900.0,785500.0,0.71,0.05,1.0,654600.0,178300.0
5,2023-08-03,1705.0,1711.0,1663.0,1672.0,330200.0,1672.0,0.0,0.0,0.0,0.05,1.0,656200.0,186900.0
6,2023-08-02,1714.0,1749.0,1713.0,1716.0,255400.0,1716.0,0.0,0.0,0.0,0.15,3.0,654400.0,175500.0
7,2023-08-01,1750.0,1763.0,1711.0,1725.0,313500.0,1725.0,0.0,0.0,0.0,0.05,1.0,655400.0,165700.0
8,2023-07-31,1820.0,1820.0,1757.0,1767.0,295300.0,1767.0,0.0,0.0,0.0,0.5,1.0,666200.0,157900.0
9,2023-07-28,1795.0,1816.0,1752.0,1816.0,759500.0,1816.0,1089800.0,699900.0,0.64,0.5,1.0,674600.0,148100.0
10,2023-07-27,1749.0,1797.0,1734.0,1797.0,255200.0,1797.0,0.0,0.0,0.0,0.05,1.0,657300.0,145500.0
11,2023-07-26,1732.0,1757.0,1720.0,1755.0,161900.0,1755.0,0.0,0.0,0.0,0.3,3.0,658000.0,169700.0
12,2023-07-25,1719.0,1742.0,1712.0,1737.0,188600.0,1737.0,0.0,0.0,0.0,0.05,1.0,655100.0,176700.0
13,2023-07-24,1716.0,1727.0,1708.0,1719.0,180000.0,1719.0,0.0,0.0,0.0,0.05,1.0,657200.0,195900.0
14,2023-07-21,1753.0,1753.0,1717.0,1719.0,278000.0,1719.0,1080600.0,755700.0,0.7,0.05,1.0,659400.0,188800.0
15,2023-07-20,1764.0,1768.0,1755.0,1762.0,131600.0,1762.0,0.0,0.0,0.0,0.05,1.0,657000.0,166300.0
16,2023-07-19,1766.0,1773.0,1748.0,1764.0,211800.0,1764.0,0.0,0.0,0.0,0.15,3.0,656200.0,174400.0
17,2023-07-18,1773.0,1779.0,1755.0,1766.0,161300.0,1766.0,0.0,0.0,0.0,0.05,1.0,657500.0,186900.0
18,2023-07-14,1754.0,1780.0,1753.0,1768.0,189200.0,1768.0,1056700.0,721200.0,0.68,0.05,1.0,658500.0,181200.0
19,2023-07-13,1793.0,1797.0,1752.0,1765.0,290000.0,1765.0,0.0,0.0,0.0,0.1,1.0,652700.0,179900.0
20,2023-07-12,1830.0,1830.0,1799.0,1802.0,218600.0,1802.0,0.0,0.0,0.0,0.4,4.0,651800.0,161300.0
21,2023-07-11,1787.0,1838.0,1786.0,1823.0,386300.0,1823.0,0.0,0.0,0.0,0.1,1.0,655200.0,156700.0
22,2023-07-10,1770.0,1795.0,1739.0,1787.0,437700.0,1787.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,2023-07-07,1800.0,1806.0,1775.0,1778.0,398400.0,1778.0,1076300.0,726500.0,0.67,0.0,0.0,0.0,0.0
24,2023-07-06,1808.0,1833.0,1791.0,1822.0,340300.0,1822.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,2023-06-30,0.0,0.0,0.0,0.0,0.0,0.0,1059800.0,607500.0,0.57,0.0,0.0,0.0,0.0
26,2023-06-23,0.0,0.0,0.0,0.0,0.0,0.0,963600.0,600700.0,0.62,0.0,0.0,0.0,0.0
27,2023-06-16,0.0,0.0,0.0,0.0,0.0,0.0,992800.0,656300.0,0.66,0.0,0.0,0.0,0.0
28,2023-06-09,0.0,0.0,0.0,0.0,0.0,0.0,964800.0,618400.0,0.64,0.0,0.0,0.0,0.0
29,2023-06-02,0.0,0.0,0.0,0.0,0.0,0.0,983400.0,683400.0,0.69,0.0,0.0,0.0,0.0
30,2023-05-26,0.0,0.0,0.0,0.0,0.0,0.0,958500.0,708800.0,0.74,0.0,0.0,0.0,0.0
31,2023-05-19,0.0,0.0,0.0,0.0,0.0,0.0,978100.0,698700.0,0.71,0.0,0.0,0.0,0.0
32,2023-05-12,0.0,0.0,0.0,0.0,0.0,0.0,899700.0,544600.0,0.61,0.0,0.0,0.0,0.0
33,2023-04-28,0.0,0.0,0.0,0.0,0.0,0.0,922900.0,610100.0,0.66,0.0,0.0,0.0,0.0
34,2023-04-21,0.0,0.0,0.0,0.0,0.0,0.0,1037300.0,618700.0,0.6,0.0,0.0,0.0,0.0
35,2023-04-14,0.0,0.0,0.0,0.0,0.0,0.0,1051800.0,636700.0,0.61,0.0,0.0,0.0,0.0
36,2023-04-07,0.0,0.0,0.0,0.0,0.0,0.0,1033400.0,689000.0,0.67,0.0,0.0,0.0,0.0
37,2023-03-31,0.0,0.0,0.0,0.0,0.0,0.0,1012100.0,631200.0,0.62,0.0,0.0,0.0,0.0
38,2023-03-24,0.0,0.0,0.0,0.0,0.0,0.0,990300.0,666500.0,0.67,0.0,0.0,0.0,0.0
39,2023-03-17,0.0,0.0,0.0,0.0,0.0,0.0,960800.0,555800.0,0.58,0.0,0.0,0.0,0.0
40,2023-03-10,0.0,0.0,0.0,0.0,0.0,0.0,941800.0,569700.0,0.6,0.0,0.0,0.0,0.0
41,2023-03-03,0.0,0.0,0.0,0.0,0.0,0.0,918800.0,535900.0,0.58,0.0,0.0,0.0,0.0
42,2023-02-24,0.0,0.0,0.0,0.0,0.0,0.0,922100.0,621600.0,0.67,0.0,0.0,0.0,0.0
43,2023-02-17,0.0,0.0,0.0,0.0,0.0,0.0,1023400.0,576000.0,0.56,0.0,0.0,0.0,0.0
