,日付,始値,高値,安値,終値,売買高,修正後終値,信用売残,信用買残,信用倍率,逆日歩,日歩日数,貸株残,融資残
0,2023-08-10,2208.0,2208.0,2105.0,2163.0,62300.0,2163.0,0.0,0.0,0.0,0,0,0.0,0.0
1,2023-08-09,2187.0,2236.0,2184.0,2221.0,19400.0,2221.0,0.0,0.0,0.0,-,-,3500.0,4300.0
2,2023-08-08,2190.0,2213.0,2177.0,2187.0,14800.0,2187.0,0.0,0.0,0.0,-,-,3300.0,4200.0
3,2023-08-07,2201.0,2205.0,2162.0,2199.0,24100.0,2199.0,0.0,0.0,0.0,-,-,3300.0,4200.0
4,2023-08-04,2246.0,2261.0,2202.0,2203.0,16800.0,2203.0,6200.0,34500.0,5.56,-,-,2600.0,4600.0
5,2023-08-03,2260.0,2270.0,2209.0,2234.0,31800.0,2234.0,0.0,0.0,0.0,-,-,2700.0,4600.0
6,2023-08-02,2307.0,2334.0,2284.0,2289.0,22500.0,2289.0,0.0,0.0,0.0,-,-,2800.0,4200.0
7,2023-08-01,2292.0,2322.0,2290.0,2322.0,17100.0,2322.0,0.0,0.0,0.0,-,-,2800.0,4200.0
8,2023-07-31,2258.0,2279.0,2238.0,2274.0,12500.0,2274.0,0.0,0.0,0.0,-,-,2800.0,4200.0
9,2023-07-28,2246.0,2246.0,2207.0,2222.0,29200.0,2222.0,6200.0,36900.0,5.95,-,-,2300.0,4200.0
10,2023-07-27,2261.0,2268.0,2251.0,2268.0,12700.0,2268.0,0.0,0.0,0.0,-,-,2300.0,4200.0
11,2023-07-26,2264.0,2287.0,2253.0,2281.0,6100.0,2281.0,0.0,0.0,0.0,-,-,2200.0,4200.0
12,2023-07-25,2270.0,2272.0,2242.0,2262.0,9600.0,2262.0,0.0,0.0,0.0,-,-,2200.0,4200.0
13,2023-07-24,2235.0,2281.0,2235.0,2263.0,15900.0,2263.0,0.0,0.0,0.0,-,-,2100.0,4200.0
14,2023-07-21,2254.0,2257.0,2225.0,2235.0,9800.0,2235.0,4400.0,37000.0,8.41,-,-,1200.0,4200.0
15,2023-07-20,2299.0,2299.0,2236.0,2252.0,23500.0,2252.0,0.0,0.0,0.0,-,-,500.0,4200.0
16,2023-07-19,2299.0,2309.0,2273.0,2309.0,17900.0,2309.0,0.0,0.0,0.0,-,-,0.0,4200.0
17,2023-07-18,2255.0,2288.0,2252.0,2260.0,14400.0,2260.0,0.0,0.0,0.0,-,-,100.0,4200.0
18,2023-07-14,2326.0,2326.0,2204.0,2228.0,26800.0,2228.0,3200.0,34700.0,10.84,-,-,400.0,4200.0
19,2023-07-13,2245.0,2300.0,2214.0,2276.0,17700.0,2276.0,0.0,0.0,0.0,-,-,600.0,4200.0
20,2023-07-12,2321.0,2334.0,2243.0,2243.0,29900.0,2243.0,0.0,0.0,0.0,-,-,600.0,5000.0
21,2023-07-11,2406.0,2406.0,2314.0,2317.0,31200.0,2317.0,0.0,0.0,0.0,-,-,1300.0,5000.0
22,2023-07-10,2400.0,2431.0,2394.0,2406.0,22100.0,2406.0,0.0,0.0,0.0,0,0,0.0,0.0
23,2023-07-07,2444.0,2444.0,2388.0,2388.0,39800.0,2388.0,4800.0,34900.0,7.27,0,0,0.0,0.0
24,2023-07-06,2531.0,2531.0,2423.0,2459.0,26400.0,2459.0,0.0,0.0,0.0,0,0,0.0,0.0
25,2023-06-30,0.0,0.0,0.0,0.0,0.0,0.0,5700.0,28100.0,4.93,0,0,0.0,0.0
26,2023-06-23,0.0,0.0,0.0,0.0,0.0,0.0,4700.0,23100.0,4.91,0,0,0.0,0.0
27,2023-06-16,0.0,0.0,0.0,0.0,0.0,0.0,4400.0,22500.0,5.11,0,0,0.0,0.0
28,2023-06-09,0.0,0.0,0.0,0.0,0.0,0.0,5700.0,24100.0,4.23,0,0,0.0,0.0
29,2023-06-02,0.0,0.0,0.0,0.0,0.0,0.0,5700.0,25100.0,4.4,0,0,0.0,0.0
30,2023-05-26,0.0,0.0,0.0,0.0,0.0,0.0,7100.0,19900.0,2.8,0,0,0.0,0.0
31,2023-05-19,0.0,0.0,0.0,0.0,0.0,0.0,3600.0,20000.0,5.56,0,0,0.0,0.0
32,2023-05-12,0.0,0.0,0.0,0.0,0.0,0.0,3900.0,23400.0,6.0,0,0,0.0,0.0
33,2023-04-28,0.0,0.0,0.0,0.0,0.0,0.0,5700.0,21600.0,3.79,0,0,0.0,0.0
34,2023-04-21,0.0,0.0,0.0,0.0,0.0,0.0,4700.0,23900.0,5.09,0,0,0.0,0.0
35,2023-04-14,0.0,0.0,0.0,0.0,0.0,0.0,6200.0,26100.0,4.21,0,0,0.0,0.0
36,2023-04-07,0.0,0.0,0.0,0.0,0.0,0.0,6200.0,28100.0,4.53,0,0,0.0,0.0
37,2023-03-31,0.0,0.0,0.0,0.0,0.0,0.0,10700.0,17500.0,1.64,0,0,0.0,0.0
38,2023-03-24,0.0,0.0,0.0,0.0,0.0,0.0,285200.0,21000.0,0.07,0,0,0.0,0.0
39,2023-03-17,0.0,0.0,0.0,0.0,0.0,0.0,278100.0,22600.0,0.08,0,0,0.0,0.0
40,2023-03-10,0.0,0.0,0.0,0.0,0.0,0.0,277800.0,23500.0,0.08,0,0,0.0,0.0
41,2023-03-03,0.0,0.0,0.0,0.0,0.0,0.0,273400.0,26300.0,0.1,0,0,0.0,0.0
42,2023-02-24,0.0,0.0,0.0,0.0,0.0,0.0,271100.0,52000.0,0.19,0,0,0.0,0.0
43,2023-02-17,0.0,0.0,0.0,0.0,0.0,0.0,271100.0,28000.0,0.1,0,0,0.0,0.0
