,日付,始値,高値,安値,終値,売買高,修正後終値,信用売残,信用買残,信用倍率,逆日歩,日歩日数,貸株残,融資残
0,2023-08-10,2406.5,2432.5,2395.0,2429.0,19458600.0,2429.0,0.0,0.0,0.0,0,0,0.0,0.0
1,2023-08-09,2423.0,2427.0,2384.0,2395.5,19106300.0,2395.5,0.0,0.0,0.0,-,-,654900.0,418900.0
2,2023-08-08,2463.5,2476.0,2420.5,2423.5,22190700.0,2423.5,0.0,0.0,0.0,-,-,661400.0,411300.0
3,2023-08-07,2431.5,2457.0,2424.0,2444.0,19853700.0,2444.0,0.0,0.0,0.0,-,-,634100.0,775600.0
4,2023-08-04,2407.0,2456.5,2401.5,2437.5,30038200.0,2437.5,3980000.0,10631200.0,2.67,0.00,-,633600.0,397200.0
5,2023-08-03,2476.0,2477.0,2401.0,2407.5,44187800.0,2407.5,0.0,0.0,0.0,-,-,658400.0,1663000.0
6,2023-08-02,2438.5,2549.0,2418.5,2502.5,78801100.0,2502.5,0.0,0.0,0.0,0.00,3,699400.0,295800.0
7,2023-08-01,2398.0,2464.0,2387.0,2445.5,68906000.0,2445.5,0.0,0.0,0.0,-,-,648100.0,1007500.0
8,2023-07-31,2350.0,2386.0,2348.5,2386.0,44133500.0,2386.0,0.0,0.0,0.0,0.00,1,715400.0,535800.0
9,2023-07-28,2288.5,2327.0,2263.5,2310.0,37405600.0,2310.0,3689900.0,9537400.0,2.58,0.00,-,688800.0,502700.0
10,2023-07-27,2315.0,2329.0,2303.5,2320.5,18487400.0,2320.5,0.0,0.0,0.0,0.00,-,686600.0,510300.0
11,2023-07-26,2318.0,2326.0,2305.5,2322.0,19436200.0,2322.0,0.0,0.0,0.0,0.00,-,648900.0,473400.0
12,2023-07-25,2316.5,2344.5,2311.5,2344.5,23265300.0,2344.5,0.0,0.0,0.0,0.00,1,718100.0,371700.0
13,2023-07-24,2317.0,2333.0,2307.5,2324.0,23557600.0,2324.0,0.0,0.0,0.0,0.00,-,640500.0,447700.0
14,2023-07-21,2289.0,2301.0,2277.0,2287.5,20284200.0,2287.5,3598400.0,10411500.0,2.89,0.00,-,640100.0,429400.0
15,2023-07-20,2291.5,2311.0,2275.0,2287.0,21073000.0,2287.0,0.0,0.0,0.0,0.00,-,605300.0,390200.0
16,2023-07-19,2266.5,2291.0,2265.0,2291.0,22597800.0,2291.0,0.0,0.0,0.0,0.00,-,625600.0,392600.0
17,2023-07-18,2214.0,2247.5,2212.0,2240.0,18107200.0,2240.0,0.0,0.0,0.0,0.00,-,585400.0,352700.0
18,2023-07-14,2219.5,2231.0,2197.0,2218.0,21578800.0,2218.0,3335000.0,11690100.0,3.51,0.00,-,537200.0,305500.0
19,2023-07-13,2192.5,2224.0,2180.0,2211.5,19826600.0,2211.5,0.0,0.0,0.0,-,-,526400.0,457800.0
20,2023-07-12,2210.0,2231.0,2189.0,2198.0,20500400.0,2198.0,0.0,0.0,0.0,-,-,530300.0,786000.0
21,2023-07-11,2256.0,2258.5,2204.0,2211.0,29078400.0,2211.0,0.0,0.0,0.0,-,-,668500.0,720900.0
22,2023-07-10,2270.0,2290.0,2255.0,2260.0,28824200.0,2260.0,0.0,0.0,0.0,0,0,0.0,0.0
23,2023-07-07,2323.5,2324.0,2292.0,2299.5,26236300.0,2299.5,4114200.0,11069100.0,2.69,0,0,0.0,0.0
24,2023-07-06,2350.0,2358.0,2317.0,2327.0,28608700.0,2327.0,0.0,0.0,0.0,0,0,0.0,0.0
25,2023-06-30,0.0,0.0,0.0,0.0,0.0,0.0,4191800.0,12019200.0,2.87,0,0,0.0,0.0
26,2023-06-23,0.0,0.0,0.0,0.0,0.0,0.0,3620700.0,14089000.0,3.89,0,0,0.0,0.0
27,2023-06-16,0.0,0.0,0.0,0.0,0.0,0.0,4703900.0,12360500.0,2.63,0,0,0.0,0.0
28,2023-06-09,0.0,0.0,0.0,0.0,0.0,0.0,3073800.0,9574000.0,3.11,0,0,0.0,0.0
