,日付,始値,高値,安値,終値,売買高,修正後終値,信用売残,信用買残,信用倍率,逆日歩,日歩日数,貸株残,融資残
0,2023-08-10,5742.0,5925.0,5701.0,5911.0,1610200.0,5911.0,0.0,0.0,0.0,0,0,0.0,0.0
1,2023-08-09,5815.0,5880.0,5781.0,5781.0,1406600.0,5781.0,0.0,0.0,0.0,-,-,17300.0,41900.0
2,2023-08-08,5950.0,5959.0,5847.0,5899.0,995500.0,5899.0,0.0,0.0,0.0,-,-,18200.0,47700.0
3,2023-08-07,5850.0,5897.0,5802.0,5883.0,870300.0,5883.0,0.0,0.0,0.0,-,-,26300.0,46900.0
4,2023-08-04,5817.0,5942.0,5811.0,5919.0,1507500.0,5919.0,410500.0,634100.0,1.54,-,-,27500.0,47200.0
5,2023-08-03,5811.0,5890.0,5788.0,5810.0,2141000.0,5810.0,0.0,0.0,0.0,-,-,13200.0,59200.0
6,2023-08-02,6073.0,6103.0,5928.0,5942.0,2428100.0,5942.0,0.0,0.0,0.0,-,-,38300.0,167600.0
7,2023-08-01,6165.0,6189.0,6108.0,6130.0,1620600.0,6130.0,0.0,0.0,0.0,0.10,1,84200.0,43000.0
8,2023-07-31,6219.0,6294.0,6057.0,6171.0,3039300.0,6171.0,0.0,0.0,0.0,-,-,81400.0,111100.0
9,2023-07-28,6202.0,6348.0,6160.0,6319.0,1699300.0,6319.0,493000.0,419000.0,0.85,0.10,1,104500.0,68700.0
10,2023-07-27,6260.0,6362.0,6230.0,6338.0,994500.0,6338.0,0.0,0.0,0.0,0.10,1,119600.0,61100.0
11,2023-07-26,6341.0,6355.0,6260.0,6297.0,913900.0,6297.0,0.0,0.0,0.0,0.45,3,128400.0,57800.0
12,2023-07-25,6197.0,6375.0,6172.0,6355.0,1873200.0,6355.0,0.0,0.0,0.0,0.15,1,156000.0,51900.0
13,2023-07-24,6180.0,6196.0,6077.0,6139.0,1084200.0,6139.0,0.0,0.0,0.0,0.10,1,113600.0,82800.0
14,2023-07-21,6147.0,6147.0,6055.0,6094.0,1406900.0,6094.0,512100.0,494400.0,0.97,0.00,1,119600.0,100500.0
15,2023-07-20,6330.0,6352.0,6184.0,6190.0,1201800.0,6190.0,0.0,0.0,0.0,0.10,1,135600.0,95900.0
16,2023-07-19,6257.0,6375.0,6252.0,6375.0,1696100.0,6375.0,0.0,0.0,0.0,0.45,3,173000.0,60300.0
17,2023-07-18,6079.0,6240.0,6070.0,6233.0,1218000.0,6233.0,0.0,0.0,0.0,0.10,1,133200.0,75700.0
18,2023-07-14,6140.0,6185.0,6021.0,6078.0,1446500.0,6078.0,527000.0,507800.0,0.96,0.10,1,120800.0,87100.0
19,2023-07-13,5975.0,6104.0,5908.0,6078.0,1413400.0,6078.0,0.0,0.0,0.0,0.10,1,120100.0,50100.0
20,2023-07-12,6057.0,6084.0,5848.0,5967.0,2040300.0,5967.0,0.0,0.0,0.0,0.00,4,119400.0,121900.0
21,2023-07-11,6072.0,6272.0,6062.0,6081.0,2694700.0,6081.0,0.0,0.0,0.0,0.10,1,141900.0,34500.0
22,2023-07-10,6177.0,6250.0,5988.0,6003.0,3560400.0,6003.0,0.0,0.0,0.0,0,0,0.0,0.0
23,2023-07-07,6290.0,6322.0,6217.0,6217.0,2099300.0,6217.0,643800.0,448400.0,0.7,0,0,0.0,0.0
24,2023-07-06,6388.0,6404.0,6259.0,6384.0,2102800.0,6384.0,0.0,0.0,0.0,0,0,0.0,0.0
25,2023-06-30,0.0,0.0,0.0,0.0,0.0,0.0,694100.0,241000.0,0.35,0,0,0.0,0.0
26,2023-06-23,0.0,0.0,0.0,0.0,0.0,0.0,693800.0,250400.0,0.36,0,0,0.0,0.0
