,Unnamed: 0_x,日付,始値,高値,安値,終値,売買高,修正後終値,信用売残,信用買残,信用倍率,逆日歩,日歩日数,貸株残,融資残,Unnamed: 0_y,累積始値,累積高値,累積安値,累積終値,累積売買高,累積修正後終値,累積信用売残,累積信用買残,累積信用倍率,累積逆日歩,累積日歩日数,累積貸株残,累積融資残,_merge
0,0.0,2023-08-10,1355.0,1387.0,1347.5,1384.0,628800.0,1384.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,left_only
1,1.0,2023-08-09,1367.0,1367.0,1345.0,1357.5,379000.0,1357.5,0.0,0.0,0.0,-,-,5400.0,4800.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,left_only
2,2.0,2023-08-08,1356.5,1367.5,1353.5,1363.0,737800.0,1363.0,0.0,0.0,0.0,-,-,6300.0,4700.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,left_only
3,3.0,2023-08-07,1330.0,1355.5,1329.0,1355.0,688900.0,1355.0,0.0,0.0,0.0,-,-,6300.0,1800.0,0.0,1330.0,1355.5,1329.0,1355.0,688900.0,1355.0,0.0,0.0,0.0,0,0,0.0,0.0,both
4,4.0,2023-08-04,1337.5,1345.5,1327.5,1334.0,536700.0,1334.0,302000.0,1893700.0,6.27,-,-,6100.0,3400.0,1.0,1337.5,1345.5,1327.5,1334.0,536700.0,1334.0,0.0,0.0,0.0,-,-,6100.0,3400.0,both
5,5.0,2023-08-03,1360.0,1363.5,1345.5,1346.0,823500.0,1346.0,0.0,0.0,0.0,-,-,5900.0,1800.0,2.0,1360.0,1363.5,1345.5,1346.0,823500.0,1346.0,0.0,0.0,0.0,-,-,5900.0,1800.0,both
6,6.0,2023-08-02,1368.5,1379.0,1363.0,1366.5,644400.0,1366.5,0.0,0.0,0.0,-,-,7900.0,1900.0,3.0,1368.5,1379.0,1363.0,1366.5,644400.0,1366.5,0.0,0.0,0.0,-,-,7900.0,1900.0,both
7,7.0,2023-08-01,1362.0,1378.5,1357.0,1372.5,662900.0,1372.5,0.0,0.0,0.0,-,-,6400.0,2100.0,4.0,1362.0,1378.5,1357.0,1372.5,662900.0,1372.5,0.0,0.0,0.0,-,-,6400.0,2100.0,both
8,8.0,2023-07-31,1366.0,1367.0,1318.5,1349.0,1314600.0,1349.0,0.0,0.0,0.0,-,-,7300.0,23200.0,5.0,1366.0,1367.0,1318.5,1349.0,1314600.0,1349.0,0.0,0.0,0.0,-,-,7300.0,23200.0,both
9,9.0,2023-07-28,1345.0,1349.0,1326.0,1340.5,790700.0,1340.5,489700.0,1950900.0,3.98,-,-,6000.0,22100.0,6.0,1345.0,1349.0,1326.0,1340.5,790700.0,1340.5,0.0,0.0,0.0,-,-,6000.0,22100.0,both
10,10.0,2023-07-27,1350.0,1359.0,1341.0,1355.0,559400.0,1355.0,0.0,0.0,0.0,-,-,6200.0,22100.0,7.0,1350.0,1359.0,1341.0,1355.0,559400.0,1355.0,0.0,0.0,0.0,-,-,6200.0,22100.0,both
11,11.0,2023-07-26,1348.0,1355.0,1334.0,1350.0,431600.0,1350.0,0.0,0.0,0.0,-,-,6500.0,22100.0,8.0,1348.0,1355.0,1334.0,1350.0,431600.0,1350.0,0.0,0.0,0.0,-,-,6500.0,22100.0,both
12,12.0,2023-07-25,1347.5,1354.5,1344.0,1350.0,805000.0,1350.0,0.0,0.0,0.0,-,-,5800.0,22400.0,9.0,1347.5,1354.5,1344.0,1350.0,805000.0,1350.0,0.0,0.0,0.0,-,-,5800.0,22400.0,both
13,13.0,2023-07-24,1345.0,1353.5,1340.5,1347.0,639100.0,1347.0,0.0,0.0,0.0,-,-,6000.0,36800.0,10.0,1345.0,1353.5,1340.5,1347.0,639100.0,1347.0,0.0,0.0,0.0,-,-,6000.0,36800.0,both
14,14.0,2023-07-21,1361.0,1361.5,1333.5,1339.0,490200.0,1339.0,505700.0,1979900.0,3.92,-,-,4000.0,26900.0,11.0,1361.0,1361.5,1333.5,1339.0,490200.0,1339.0,505700.0,1979900.0,3.92,-,-,4000.0,26900.0,both
15,15.0,2023-07-20,1361.0,1379.5,1361.0,1366.5,754100.0,1366.5,0.0,0.0,0.0,-,-,5100.0,15400.0,12.0,1361.0,1379.5,1361.0,1366.5,754100.0,1366.5,0.0,0.0,0.0,-,-,5100.0,15400.0,both
16,16.0,2023-07-19,1366.5,1374.5,1347.5,1360.5,771900.0,1360.5,0.0,0.0,0.0,-,-,5400.0,15100.0,13.0,1366.5,1374.5,1347.5,1360.5,771900.0,1360.5,0.0,0.0,0.0,-,-,5400.0,15100.0,both
17,17.0,2023-07-18,1321.0,1338.0,1320.0,1336.5,467800.0,1336.5,0.0,0.0,0.0,-,-,4700.0,23400.0,14.0,1321.0,1338.0,1320.0,1336.5,467800.0,1336.5,0.0,0.0,0.0,-,-,4700.0,23400.0,both
18,18.0,2023-07-14,1324.0,1328.0,1312.5,1326.0,450300.0,1326.0,510300.0,1999400.0,3.92,-,-,4200.0,23100.0,15.0,1324.0,1328.0,1312.5,1326.0,450300.0,1326.0,510300.0,1999400.0,3.92,-,-,4200.0,23100.0,both
19,19.0,2023-07-13,1311.0,1327.5,1301.5,1321.0,518200.0,1321.0,0.0,0.0,0.0,-,-,4700.0,23100.0,16.0,1311.0,1327.5,1301.5,1321.0,518200.0,1321.0,0.0,0.0,0.0,-,-,4700.0,23100.0,both
20,20.0,2023-07-12,1327.0,1327.0,1308.0,1320.5,538900.0,1320.5,0.0,0.0,0.0,-,-,3700.0,32900.0,17.0,1327.0,1327.0,1308.0,1320.5,538900.0,1320.5,0.0,0.0,0.0,-,-,3700.0,32900.0,both
