,日付,始値,高値,安値,終値,売買高,修正後終値,信用売残,信用買残,信用倍率,逆日歩,日歩日数,貸株残,融資残
0,2023-08-10,2200.0,2265.0,2198.5,2258.5,930300.0,2258.5,0.0,0.0,0.0,0,0,0.0,0.0
1,2023-08-09,2207.0,2229.5,2200.5,2224.0,709200.0,2224.0,0.0,0.0,0.0,0.00,1,42700.0,22300.0
2,2023-08-08,2197.0,2219.5,2191.0,2213.0,766900.0,2213.0,0.0,0.0,0.0,0.00,4,65300.0,22700.0
3,2023-08-07,2155.0,2177.0,2148.0,2175.5,652900.0,2175.5,0.0,0.0,0.0,0.00,1,58800.0,29400.0
4,2023-08-04,2157.0,2158.5,2132.0,2138.5,843700.0,2138.5,130200.0,141700.0,1.09,0.05,1,42500.0,20000.0
5,2023-08-03,2170.0,2170.0,2132.5,2160.5,1050100.0,2160.5,0.0,0.0,0.0,0.00,1,37700.0,16900.0
6,2023-08-02,2175.0,2195.0,2166.5,2185.0,1122400.0,2185.0,0.0,0.0,0.0,-,-,47200.0,102000.0
7,2023-08-01,2168.0,2177.0,2146.5,2177.0,1069700.0,2177.0,0.0,0.0,0.0,0.00,1,92000.0,34700.0
8,2023-07-31,2088.0,2171.5,2086.0,2159.0,2271500.0,2159.0,0.0,0.0,0.0,0.00,1,90500.0,38300.0
9,2023-07-28,2029.0,2055.5,2011.0,2038.0,1317200.0,2038.0,100300.0,187000.0,1.86,-,-,21800.0,36500.0
10,2023-07-27,2067.0,2068.5,2053.5,2065.0,662900.0,2065.0,0.0,0.0,0.0,-,-,21400.0,31900.0
11,2023-07-26,2069.0,2075.5,2055.0,2070.5,622800.0,2070.5,0.0,0.0,0.0,-,-,21800.0,32200.0
12,2023-07-25,2050.0,2066.0,2047.0,2060.5,801900.0,2060.5,0.0,0.0,0.0,-,-,22300.0,30500.0
13,2023-07-24,2040.0,2054.0,2037.5,2042.5,628700.0,2042.5,0.0,0.0,0.0,-,-,13200.0,27900.0
14,2023-07-21,2018.5,2030.0,2008.5,2026.0,660900.0,2026.0,77000.0,184200.0,2.39,-,-,13200.0,24400.0
15,2023-07-20,2035.0,2051.0,2023.0,2027.0,600600.0,2027.0,0.0,0.0,0.0,0.00,1,25000.0,21100.0
16,2023-07-19,2036.0,2047.0,2021.0,2037.5,636600.0,2037.5,0.0,0.0,0.0,0.00,-,23600.0,23000.0
17,2023-07-18,2014.0,2022.0,2006.0,2019.0,578500.0,2019.0,0.0,0.0,0.0,0.00,-,22600.0,21800.0
18,2023-07-14,2000.0,2014.5,1993.5,2008.0,635800.0,2008.0,87300.0,190400.0,2.18,-,-,22700.0,21900.0
19,2023-07-13,2004.5,2012.0,1981.0,2000.0,621000.0,2000.0,0.0,0.0,0.0,0.00,1,30800.0,27300.0
20,2023-07-12,2013.0,2013.5,1986.0,1991.0,629200.0,1991.0,0.0,0.0,0.0,-,-,20500.0,25200.0
21,2023-07-11,2028.0,2034.0,2006.5,2011.5,707600.0,2011.5,0.0,0.0,0.0,0.00,-,21000.0,20300.0
22,2023-07-10,2018.0,2030.5,2003.0,2018.0,844800.0,2018.0,0.0,0.0,0.0,0,0,0.0,0.0
23,2023-07-07,2020.0,2039.5,2006.5,2020.5,876600.0,2020.5,85400.0,187800.0,2.2,0,0,0.0,0.0
24,2023-07-06,2055.5,2062.0,2031.0,2043.0,941500.0,2043.0,0.0,0.0,0.0,0,0,0.0,0.0
25,2023-06-30,0.0,0.0,0.0,0.0,0.0,0.0,88900.0,169000.0,1.9,0,0,0.0,0.0
26,2023-06-23,0.0,0.0,0.0,0.0,0.0,0.0,95700.0,202400.0,2.11,0,0,0.0,0.0
27,2023-06-16,0.0,0.0,0.0,0.0,0.0,0.0,108900.0,187300.0,1.72,0,0,0.0,0.0
28,2023-06-09,0.0,0.0,0.0,0.0,0.0,0.0,67200.0,186600.0,2.78,0,0,0.0,0.0
29,2023-06-02,0.0,0.0,0.0,0.0,0.0,0.0,39200.0,189700.0,4.84,0,0,0.0,0.0
30,2023-05-26,0.0,0.0,0.0,0.0,0.0,0.0,72800.0,182400.0,2.51,0,0,0.0,0.0
31,2023-05-19,0.0,0.0,0.0,0.0,0.0,0.0,85200.0,134800.0,1.58,0,0,0.0,0.0
32,2023-05-12,0.0,0.0,0.0,0.0,0.0,0.0,36200.0,146500.0,4.05,0,0,0.0,0.0
33,2023-04-28,0.0,0.0,0.0,0.0,0.0,0.0,104100.0,125500.0,1.21,0,0,0.0,0.0
34,2023-04-21,0.0,0.0,0.0,0.0,0.0,0.0,95800.0,135300.0,1.41,0,0,0.0,0.0
35,2023-04-14,0.0,0.0,0.0,0.0,0.0,0.0,124600.0,180300.0,1.45,0,0,0.0,0.0
36,2023-04-07,0.0,0.0,0.0,0.0,0.0,0.0,84700.0,162600.0,1.92,0,0,0.0,0.0
37,2023-03-31,0.0,0.0,0.0,0.0,0.0,0.0,94700.0,123100.0,1.3,0,0,0.0,0.0
38,2023-03-24,0.0,0.0,0.0,0.0,0.0,0.0,89000.0,162500.0,1.83,0,0,0.0,0.0
39,2023-03-17,0.0,0.0,0.0,0.0,0.0,0.0,76800.0,154000.0,2.01,0,0,0.0,0.0
40,2023-03-10,0.0,0.0,0.0,0.0,0.0,0.0,84300.0,135200.0,1.6,0,0,0.0,0.0
41,2023-03-03,0.0,0.0,0.0,0.0,0.0,0.0,71100.0,204700.0,2.88,0,0,0.0,0.0
42,2023-02-24,0.0,0.0,0.0,0.0,0.0,0.0,56100.0,241600.0,4.31,0,0,0.0,0.0
43,2023-02-17,0.0,0.0,0.0,0.0,0.0,0.0,54400.0,233100.0,4.28,0,0,0.0,0.0
