,日付,日証金,逆日歩,日歩日数,貸株残,融資残
0,2023-08-22,日証金,-,-,8700,23700
1,2023-08-21,日証金,-,-,12800,39500
2,2023-08-18,日証金,-,-,200,36300
3,2023-08-17,日証金,-,-,200,36300
4,2023-08-16,日証金,-,-,2900,36000
5,2023-08-15,日証金,-,-,7800,46700
6,2023-08-14,日証金,-,-,11800,46500
7,2023-08-10,日証金,-,-,3600,69700
8,2023-08-09,日証金,-,-,4200,69200
9,2023-08-08,日証金,-,-,5000,65400
10,2023-08-07,日証金,-,-,5200,64800
11,2023-08-04,日証金,-,-,7400,60400
12,2023-08-03,日証金,-,-,13200,53000
13,2023-08-02,日証金,-,-,29900,49000
14,2023-08-01,日証金,-,-,23700,53700
15,2023-07-31,日証金,-,-,55400,56000
16,2023-07-28,日証金,-,-,46100,61600
17,2023-07-27,日証金,-,-,22800,62400
18,2023-07-26,日証金,-,-,19600,62800
19,2023-07-25,日証金,-,-,16600,65800
20,2023-07-24,日証金,-,-,16900,65500
