,日付,始値,高値,安値,終値,売買高,修正後終値
0,2023-08-23,2664.5,2700.5,2660.5,2697.0,2100200,2697.0
1,2023-08-22,2671.5,2706.0,2668.5,2703.5,2346200,2703.5
2,2023-08-21,2630.0,2662.5,2625.0,2634.0,1944200,2634.0
3,2023-08-18,2637.5,2656.5,2616.5,2628.0,2312900,2628.0
4,2023-08-17,2640.0,2680.5,2630.5,2657.0,3848400,2657.0
5,2023-08-16,2600.0,2619.5,2591.0,2599.5,1739800,2599.5
6,2023-08-15,2627.0,2637.0,2615.5,2620.5,2014800,2620.5
7,2023-08-14,2634.0,2660.5,2602.5,2613.0,1998200,2613.0
8,2023-08-10,2568.5,2626.0,2568.5,2626.0,2406000,2626.0
9,2023-08-09,2620.0,2621.0,2567.5,2567.5,2578800,2567.5
10,2023-08-08,2633.0,2670.0,2627.0,2631.5,2327400,2631.5
11,2023-08-07,2601.5,2623.5,2564.0,2609.5,3486100,2609.5
12,2023-08-04,2640.0,2680.5,2629.5,2664.5,2315200,2664.5
13,2023-08-03,2703.0,2720.0,2640.0,2663.0,4079500,2663.0
14,2023-08-02,2733.5,2806.0,2662.0,2692.5,11497800,2692.5
15,2023-08-01,2707.0,2751.5,2695.5,2751.5,4360400,2751.5
16,2023-07-31,2671.0,2713.5,2664.0,2686.5,3732100,2686.5
17,2023-07-28,2610.0,2680.5,2568.5,2619.0,4453300,2619.0
18,2023-07-27,2690.0,2698.0,2653.5,2672.0,2480400,2672.0
19,2023-07-26,2663.0,2680.5,2635.0,2668.5,2414200,2668.5
20,2023-07-25,2710.0,2738.5,2683.5,2721.0,3107100,2721.0
21,2023-07-24,2650.5,2700.0,2645.5,2683.0,3106700,2683.0
22,2023-07-21,2613.0,2638.0,2604.5,2618.0,2373800,2618.0
23,2023-07-20,2587.0,2627.0,2585.0,2609.5,4765100,2609.5
24,2023-07-19,2520.0,2558.0,2515.5,2558.0,3099900,2558.0
