,日付,日証金,逆日歩,日歩日数,貸株残,融資残
0,2023-08-22,日証金,0.00,-,163100,149500
1,2023-08-21,日証金,0.00,-,116500,98200
2,2023-08-18,日証金,0.00,-,118400,100200
3,2023-08-17,日証金,0.00,-,198600,180500
4,2023-08-16,日証金,0.00,-,116400,94300
5,2023-08-15,日証金,0.00,-,122600,100300
6,2023-08-14,日証金,0.00,-,118800,95500
7,2023-08-10,日証金,0.00,-,164800,139800
8,2023-08-09,日証金,0.00,-,108900,83700
9,2023-08-08,日証金,0.00,-,129500,105300
10,2023-08-07,日証金,0.00,-,105300,78700
11,2023-08-04,日証金,0.00,-,108200,80900
12,2023-08-03,日証金,-,-,110300,138400
13,2023-08-02,日証金,-,-,178200,169700
14,2023-08-01,日証金,0.00,-,151900,142900
15,2023-07-31,日証金,0.00,-,161600,155600
16,2023-07-28,日証金,0.00,-,121800,114000
17,2023-07-27,日証金,0.00,-,139000,131300
18,2023-07-26,日証金,0.00,-,128300,119100
19,2023-07-25,日証金,0.00,-,141800,128900
20,2023-07-24,日証金,0.00,-,144800,131800
