,日付,始値,高値,安値,終値,売買高,修正後終値
0,2023-08-23,2301.5,2340.5,2297.0,2335.0,8230100,2335.0
1,2023-08-22,2280.0,2319.0,2275.0,2315.0,7329900,2315.0
2,2023-08-21,2260.0,2279.5,2252.0,2259.0,4554700,2259.0
3,2023-08-18,2261.0,2277.0,2246.5,2267.5,7826900,2267.5
4,2023-08-17,2254.0,2286.0,2223.0,2284.5,9347000,2284.5
5,2023-08-16,2282.0,2286.0,2258.0,2262.0,9435500,2262.0
6,2023-08-15,2322.0,2331.5,2303.0,2311.0,9412200,2311.0
7,2023-08-14,2363.5,2364.0,2310.5,2317.5,7461100,2317.5
8,2023-08-10,2313.5,2349.5,2292.0,2340.0,10851000,2340.0
9,2023-08-09,2370.0,2370.5,2310.5,2325.5,11031500,2325.5
10,2023-08-08,2408.0,2409.0,2376.0,2378.0,9518600,2378.0
11,2023-08-07,2391.0,2393.5,2365.5,2372.5,6867200,2372.5
12,2023-08-04,2380.5,2401.5,2371.5,2391.0,8516500,2391.0
13,2023-08-03,2397.0,2403.0,2360.0,2365.0,12208400,2365.0
14,2023-08-02,2406.0,2433.0,2380.0,2382.5,13351700,2382.5
15,2023-08-01,2415.0,2451.5,2391.0,2424.5,19229000,2424.5
16,2023-07-31,2415.0,2447.0,2366.0,2404.0,23270700,2404.0
17,2023-07-28,2300.0,2379.0,2262.5,2379.0,34779100,2379.0
18,2023-07-27,2255.0,2275.0,2240.5,2270.0,10899500,2270.0
19,2023-07-26,2241.0,2245.0,2227.0,2240.5,5428200,2240.5
20,2023-07-25,2230.0,2243.0,2224.5,2240.5,7135400,2240.5
21,2023-07-24,2208.0,2232.0,2175.0,2213.5,11198100,2213.5
22,2023-07-21,2285.0,2286.0,2234.5,2242.5,9443200,2242.5
23,2023-07-20,2275.0,2276.5,2243.0,2245.5,8673000,2245.5
24,2023-07-19,2294.0,2301.5,2250.0,2265.0,11704700,2265.0
