,日付,日証金,逆日歩,日歩日数,貸株残,融資残
0,2023-08-22,日証金,0.05,1,617700,180600
1,2023-08-21,日証金,0.0,1,531300,330500
2,2023-08-18,日証金,0.05,1,484800,175200
3,2023-08-17,日証金,0.0,1,333300,200400
4,2023-08-16,日証金,0.0,3,431000,257100
5,2023-08-15,日証金,0.0,1,467600,274400
6,2023-08-14,日証金,0.0,1,302800,299400
7,2023-08-10,日証金,0.0,1,350200,300400
8,2023-08-09,日証金,0.0,1,357100,314000
9,2023-08-08,日証金,0.0,4,489000,306000
10,2023-08-07,日証金,0.0,1,491500,337800
11,2023-08-04,日証金,0.0,1,515200,440500
12,2023-08-03,日証金,0.05,1,713700,481600
13,2023-08-02,日証金,0.15,3,892800,514600
14,2023-08-01,日証金,0.05,1,1332500,513200
15,2023-07-31,日証金,0.05,1,1545400,391200
16,2023-07-28,日証金,0.05,1,1230200,498400
17,2023-07-27,日証金,0.05,1,1264600,491400
18,2023-07-26,日証金,0.15,3,1238400,376600
19,2023-07-25,日証金,0.05,1,1053400,379900
20,2023-07-24,日証金,0.05,1,955000,376600
