,日付,日証金,逆日歩,日歩日数,貸株残,融資残
0,2023-08-22,日証金,0.05,1,929800,98100
1,2023-08-21,日証金,0.05,1,830900,91100
2,2023-08-18,日証金,0.05,1,857500,93700
3,2023-08-17,日証金,0.05,1,837600,105500
4,2023-08-16,日証金,0.15,3,814000,95300
5,2023-08-15,日証金,0.05,1,861800,89300
6,2023-08-14,日証金,0.05,1,850800,91200
7,2023-08-10,日証金,0.05,1,745300,149100
8,2023-08-09,日証金,0.05,1,685800,187500
9,2023-08-08,日証金,0.2,4,657400,180800
10,2023-08-07,日証金,0.05,1,655400,176700
11,2023-08-04,日証金,0.05,1,654600,178300
12,2023-08-03,日証金,0.05,1,656200,186900
13,2023-08-02,日証金,0.15,3,654400,175500
14,2023-08-01,日証金,0.05,1,655400,165700
15,2023-07-31,日証金,0.5,1,666200,157900
16,2023-07-28,日証金,0.5,1,674600,148100
17,2023-07-27,日証金,0.05,1,657300,145500
18,2023-07-26,日証金,0.3,3,658000,169700
19,2023-07-25,日証金,0.05,1,655100,176700
20,2023-07-24,日証金,0.05,1,657200,195900
