,日付,信用売残,信用買残,信用倍率
0,2023-08-18,5400,42800,7.93
1,2023-08-10,7700,36200,4.7
2,2023-08-04,6200,34500,5.56
3,2023-07-28,6200,36900,5.95
4,2023-07-21,4400,37000,8.41
5,2023-07-14,3200,34700,10.84
6,2023-07-07,4800,34900,7.27
7,2023-06-30,5700,28100,4.93
8,2023-06-23,4700,23100,4.91
9,2023-06-16,4400,22500,5.11
10,2023-06-09,5700,24100,4.23
11,2023-06-02,5700,25100,4.4
12,2023-05-26,7100,19900,2.8
13,2023-05-19,3600,20000,5.56
14,2023-05-12,3900,23400,6.0
15,2023-04-28,5700,21600,3.79
16,2023-04-21,4700,23900,5.09
17,2023-04-14,6200,26100,4.21
18,2023-04-07,6200,28100,4.53
19,2023-03-31,10700,17500,1.64
20,2023-03-24,285200,21000,0.07
21,2023-03-17,278100,22600,0.08
22,2023-03-10,277800,23500,0.08
23,2023-03-03,273400,26300,0.1
24,2023-02-24,271100,52000,0.19
