,日付,始値,高値,安値,終値,売買高,修正後終値
0,2023-08-23,1969,1993,1968,1983,39100,1983.0
1,2023-08-22,1982,1994,1947,1964,34400,1964.0
2,2023-08-21,1973,2006,1956,1979,23000,1979.0
3,2023-08-18,2010,2010,1959,1969,43800,1969.0
4,2023-08-17,2015,2016,1982,2010,40000,2010.0
5,2023-08-16,2019,2061,2019,2029,9700,2029.0
6,2023-08-15,2025,2070,2025,2031,25500,2031.0
7,2023-08-14,2163,2163,2023,2024,64900,2024.0
8,2023-08-10,2208,2208,2105,2163,62300,2163.0
9,2023-08-09,2187,2236,2184,2221,19400,2221.0
10,2023-08-08,2190,2213,2177,2187,14800,2187.0
11,2023-08-07,2201,2205,2162,2199,24100,2199.0
12,2023-08-04,2246,2261,2202,2203,16800,2203.0
13,2023-08-03,2260,2270,2209,2234,31800,2234.0
14,2023-08-02,2307,2334,2284,2289,22500,2289.0
15,2023-08-01,2292,2322,2290,2322,17100,2322.0
16,2023-07-31,2258,2279,2238,2274,12500,2274.0
17,2023-07-28,2246,2246,2207,2222,29200,2222.0
18,2023-07-27,2261,2268,2251,2268,12700,2268.0
19,2023-07-26,2264,2287,2253,2281,6100,2281.0
20,2023-07-25,2270,2272,2242,2262,9600,2262.0
21,2023-07-24,2235,2281,2235,2263,15900,2263.0
22,2023-07-21,2254,2257,2225,2235,9800,2235.0
23,2023-07-20,2299,2299,2236,2252,23500,2252.0
24,2023-07-19,2299,2309,2273,2309,17900,2309.0
