,日付,信用売残,信用買残,信用倍率
0,2023-08-18,3280100,10773800,3.28
1,2023-08-10,3632500,10337800,2.85
2,2023-08-04,3980000,10631200,2.67
3,2023-07-28,3689900,9537400,2.58
4,2023-07-21,3598400,10411500,2.89
5,2023-07-14,3335000,11690100,3.51
6,2023-07-07,4114200,11069100,2.69
7,2023-06-30,4191800,12019200,2.87
8,2023-06-23,3620700,14089000,3.89
9,2023-06-16,4703900,12360500,2.63
10,2023-06-09,3073800,9574000,3.11
11,2023-06-02,2848800,10461200,3.67
12,2023-05-26,2057900,13105100,6.37
13,2023-05-19,2145800,12183600,5.68
14,2023-05-12,2044500,14076300,6.88
15,2023-04-28,1139500,19235300,16.88
16,2023-04-21,1351900,21774400,16.11
17,2023-04-14,1288800,20855600,16.18
18,2023-04-07,1307600,19105800,14.61
19,2023-03-31,1416400,17800900,12.57
20,2023-03-24,1334900,21431600,16.05
21,2023-03-17,938500,21660400,23.08
22,2023-03-10,1736300,17047100,9.82
23,2023-03-03,1468600,21597700,14.71
24,2023-02-24,1652700,23409600,14.16
