,日付,始値,高値,安値,終値,売買高,修正後終値
0,2023-08-23,1590.5,1669.5,1587.5,1664.5,12116800,1664.5
1,2023-08-22,1593.0,1594.0,1575.5,1589.0,3902900,1589.0
2,2023-08-21,1586.0,1589.5,1566.0,1577.0,4692100,1577.0
3,2023-08-18,1560.0,1586.5,1555.0,1586.5,6667400,1586.5
4,2023-08-17,1613.5,1613.5,1559.5,1596.5,6080500,1596.5
5,2023-08-16,1611.0,1619.0,1597.0,1601.5,4764200,1601.5
6,2023-08-15,1611.0,1622.0,1603.5,1609.0,6058600,1609.0
7,2023-08-14,1654.0,1662.5,1593.5,1597.5,9106500,1597.5
8,2023-08-10,1629.0,1655.5,1623.5,1650.5,6615700,1650.5
9,2023-08-09,1618.5,1635.0,1616.0,1622.0,7774000,1622.0
10,2023-08-08,1665.0,1670.5,1641.0,1644.0,7676400,1644.0
11,2023-08-07,1658.0,1677.5,1652.0,1670.5,4721600,1670.5
12,2023-08-04,1683.5,1687.0,1655.5,1664.5,7379300,1664.5
13,2023-08-03,1672.5,1699.0,1666.0,1688.0,8411600,1688.0
14,2023-08-02,1726.5,1737.5,1692.0,1699.0,11865200,1699.0
15,2023-08-01,1728.0,1742.5,1684.5,1738.5,19980200,1738.5
16,2023-07-31,1737.0,1766.0,1723.5,1760.0,13305500,1760.0
17,2023-07-28,1711.0,1718.0,1672.0,1697.0,11972400,1697.0
18,2023-07-27,1737.5,1744.5,1730.0,1736.0,6360800,1736.0
19,2023-07-26,1744.0,1747.5,1733.5,1739.0,5941900,1739.0
20,2023-07-25,1755.0,1756.5,1742.0,1756.5,5614600,1756.5
21,2023-07-24,1748.0,1763.5,1737.0,1754.5,7766200,1754.5
22,2023-07-21,1702.0,1739.5,1694.0,1738.0,11307000,1738.0
23,2023-07-20,1704.0,1711.0,1685.5,1687.5,4644100,1687.5
24,2023-07-19,1700.0,1708.5,1689.0,1706.5,6630000,1706.5
