,日付,日証金,逆日歩,日歩日数,貸株残,融資残
0,2023-08-22,日証金,-,-,6800,68800
1,2023-08-21,日証金,-,-,8800,88700
2,2023-08-18,日証金,-,-,20600,82500
3,2023-08-17,日証金,-,-,14200,97000
4,2023-08-16,日証金,-,-,14000,75000
5,2023-08-15,日証金,-,-,32600,113300
6,2023-08-14,日証金,-,-,7900,120500
7,2023-08-10,日証金,-,-,11800,81700
8,2023-08-09,日証金,-,-,28100,125800
9,2023-08-08,日証金,-,-,25800,122400
10,2023-08-07,日証金,-,-,11900,83500
11,2023-08-04,日証金,-,-,34500,115900
12,2023-08-03,日証金,-,-,11800,109600
13,2023-08-02,日証金,-,-,30200,121900
14,2023-08-01,日証金,-,-,21100,123300
15,2023-07-31,日証金,-,-,72400,131300
16,2023-07-28,日証金,-,-,38200,147800
17,2023-07-27,日証金,-,-,5900,150400
18,2023-07-26,日証金,-,-,7700,132300
19,2023-07-25,日証金,-,-,20900,140900
20,2023-07-24,日証金,-,-,6000,119500
