,日付,始値,高値,安値,終値,売買高,修正後終値
0,2023-08-23,692,703,691,702,296400,702.0
1,2023-08-22,682,689,682,689,167500,689.0
2,2023-08-21,675,684,674,681,171900,681.0
3,2023-08-18,673,674,668,671,265900,671.0
4,2023-08-17,679,681,672,676,224800,676.0
5,2023-08-16,673,675,670,674,157400,674.0
6,2023-08-15,676,678,672,675,196400,675.0
7,2023-08-14,682,683,673,675,351300,675.0
8,2023-08-10,680,682,677,682,132900,682.0
9,2023-08-09,682,682,677,679,108500,679.0
10,2023-08-08,679,682,677,680,149700,680.0
11,2023-08-07,669,678,668,678,271400,678.0
12,2023-08-04,666,669,663,669,185700,669.0
13,2023-08-03,674,674,665,665,456500,665.0
14,2023-08-02,682,683,673,676,422800,676.0
15,2023-08-01,691,691,677,677,977500,677.0
16,2023-07-31,710,715,706,714,336200,714.0
17,2023-07-28,698,705,697,705,217900,705.0
18,2023-07-27,700,703,698,702,116900,702.0
19,2023-07-26,703,703,699,701,186400,701.0
20,2023-07-25,704,706,702,705,94200,705.0
21,2023-07-24,705,706,702,703,55000,703.0
22,2023-07-21,703,703,697,700,146500,700.0
23,2023-07-20,700,704,699,700,139200,700.0
24,2023-07-19,694,698,693,698,175900,698.0
