,日付,日証金,逆日歩,日歩日数,貸株残,融資残
0,2023-08-22,日証金,-,-,0,9500
1,2023-08-21,日証金,-,-,0,9800
2,2023-08-18,日証金,-,-,0,10100
3,2023-08-17,日証金,-,-,0,9200
4,2023-08-16,日証金,-,-,0,5900
5,2023-08-15,日証金,-,-,0,22300
6,2023-08-14,日証金,-,-,0,22600
7,2023-08-10,日証金,-,-,0,15300
8,2023-08-09,日証金,-,-,0,15600
9,2023-08-08,日証金,-,-,0,15600
10,2023-08-07,日証金,-,-,0,17000
11,2023-08-04,日証金,-,-,0,14100
12,2023-08-03,日証金,-,-,0,18100
13,2023-08-02,日証金,-,-,0,10200
14,2023-08-01,日証金,-,-,0,9600
15,2023-07-31,日証金,-,-,0,14700
16,2023-07-28,日証金,-,-,0,15800
17,2023-07-27,日証金,-,-,6800,15000
18,2023-07-26,日証金,-,-,7000,14800
19,2023-07-25,日証金,-,-,7000,14200
20,2023-07-24,日証金,-,-,7000,30100
