,日付,日証金,逆日歩,日歩日数,貸株残,融資残
0,2023-08-22,日証金,0.00,1,116700,46400
1,2023-08-21,日証金,-,-,44100,43300
2,2023-08-18,日証金,-,-,37200,43500
3,2023-08-17,日証金,-,-,46700,54600
4,2023-08-16,日証金,0.00,-,67000,68300
5,2023-08-15,日証金,0.00,-,62700,61900
6,2023-08-14,日証金,-,-,60800,60300
7,2023-08-10,日証金,0.00,-,104700,99000
8,2023-08-09,日証金,-,-,43000,104500
9,2023-08-08,日証金,0.00,-,71100,71000
10,2023-08-07,日証金,-,-,37000,76100
11,2023-08-04,日証金,0.00,-,80800,80800
12,2023-08-03,日証金,-,-,51300,44000
13,2023-08-02,日証金,-,-,63300,427900
14,2023-08-01,日証金,0.00,-,67000,67800
15,2023-07-31,日証金,-,-,58500,111800
16,2023-07-28,日証金,-,-,33000,118000
17,2023-07-27,日証金,-,-,63000,112900
18,2023-07-26,日証金,0.00,-,91900,92800
19,2023-07-25,日証金,0.00,-,110600,110200
20,2023-07-24,日証金,0.00,-,71900,69100
