,日付,信用売残,信用買残,信用倍率
0,2023-08-18,31100,82700,2.66
1,2023-08-10,25600,75000,2.93
2,2023-08-04,16300,89900,5.52
3,2023-07-28,19400,80100,4.13
4,2023-07-21,19800,78500,3.96
5,2023-07-14,18700,75800,4.05
6,2023-07-07,20300,78400,3.86
7,2023-06-30,16100,85800,5.33
8,2023-06-23,21300,101300,4.76
9,2023-06-16,20100,99100,4.93
10,2023-06-09,22500,101900,4.53
11,2023-06-02,22400,98400,4.39
12,2023-05-26,28300,101400,3.58
13,2023-05-19,21800,79200,3.63
14,2023-05-12,43400,59900,1.38
15,2023-04-28,7400,68000,9.19
16,2023-04-21,10200,68200,6.69
17,2023-04-14,7400,66100,8.93
18,2023-04-07,18600,68500,3.68
19,2023-03-31,18200,56600,3.11
20,2023-03-24,18900,91200,4.83
21,2023-03-17,18800,97700,5.2
22,2023-03-10,20100,84100,4.18
23,2023-03-03,29100,93800,3.22
24,2023-02-24,28700,82500,2.87
