,日付,始値,高値,安値,終値,売買高,修正後終値
0,2023-08-23,1619,1622,1587,1622,141700,1622.0
1,2023-08-22,1621,1646,1615,1635,97900,1635.0
2,2023-08-21,1650,1650,1611,1617,126900,1617.0
3,2023-08-18,1678,1680,1642,1656,146100,1656.0
4,2023-08-17,1715,1716,1670,1684,152000,1684.0
5,2023-08-16,1805,1805,1720,1720,168300,1720.0
6,2023-08-15,1849,1849,1814,1817,114200,1817.0
7,2023-08-14,1836,1884,1831,1847,200600,1847.0
8,2023-08-10,1799,1799,1750,1796,123800,1796.0
9,2023-08-09,1806,1841,1775,1800,245000,1800.0
10,2023-08-08,1825,1866,1790,1818,153000,1818.0
11,2023-08-07,1800,1830,1708,1790,297000,1790.0
12,2023-08-04,1768,1787,1751,1769,61200,1769.0
13,2023-08-03,1799,1801,1762,1772,123200,1772.0
14,2023-08-02,1825,1842,1805,1811,64300,1811.0
15,2023-08-01,1833,1841,1828,1840,45400,1840.0
16,2023-07-31,1867,1869,1835,1835,57800,1835.0
17,2023-07-28,1815,1844,1804,1836,63200,1836.0
18,2023-07-27,1833,1856,1810,1832,42700,1832.0
19,2023-07-26,1859,1859,1833,1844,32000,1844.0
20,2023-07-25,1849,1860,1847,1859,36200,1859.0
21,2023-07-24,1836,1864,1836,1856,42000,1856.0
22,2023-07-21,1848,1852,1820,1836,55400,1836.0
23,2023-07-20,1864,1895,1850,1850,65700,1850.0
24,2023-07-19,1876,1881,1845,1852,80500,1852.0
