,日付,始値,高値,安値,終値,売買高,修正後終値
0,2023-08-23,551.0,561.5,548.3,557.5,8258200,557.5
1,2023-08-22,559.2,559.8,551.3,557.1,8854900,557.1
2,2023-08-21,557.4,560.8,550.1,551.9,8011600,551.9
3,2023-08-18,550.9,560.5,550.1,557.4,9996700,557.4
4,2023-08-17,561.5,562.0,544.2,558.7,11180500,558.7
5,2023-08-16,560.0,560.9,550.3,551.5,10284800,551.5
6,2023-08-15,574.5,574.7,565.2,566.1,7013000,566.1
7,2023-08-14,574.9,575.9,564.7,565.9,9843900,565.9
8,2023-08-10,568.4,577.7,567.0,574.2,7344200,574.2
9,2023-08-09,571.4,573.9,565.2,572.4,7985900,572.4
10,2023-08-08,575.4,587.9,574.6,576.3,12767000,576.3
11,2023-08-07,570.0,570.7,561.6,568.0,11980800,568.0
12,2023-08-04,567.8,578.5,566.1,577.0,9342200,577.0
13,2023-08-03,574.9,575.9,567.0,572.0,11973500,572.0
14,2023-08-02,588.0,595.8,580.5,580.5,17516900,580.5
15,2023-08-01,578.2,599.9,572.5,597.9,23374300,597.9
16,2023-07-31,571.8,573.5,565.6,571.6,16547500,571.6
17,2023-07-28,553.2,566.0,542.3,556.0,28814300,556.0
18,2023-07-27,582.1,582.4,555.3,563.2,21819500,563.2
19,2023-07-26,574.2,582.0,563.5,576.4,27031300,576.4
20,2023-07-25,545.0,586.9,543.6,584.2,57694900,584.2
21,2023-07-24,532.0,566.8,531.8,544.8,69530500,544.8
22,2023-07-21,519.8,522.7,513.6,518.9,16035800,518.9
23,2023-07-20,512.0,519.9,509.0,511.0,13240400,511.0
24,2023-07-19,502.0,512.1,500.5,512.1,16817800,512.1
