,日付,日証金,逆日歩,日歩日数,貸株残,融資残
0,2023-08-22,日証金,0.00,-,398800,390900
1,2023-08-21,日証金,0.00,-,370200,358200
2,2023-08-18,日証金,-,-,381200,393000
3,2023-08-17,日証金,-,-,362000,389700
4,2023-08-16,日証金,-,-,344200,552000
5,2023-08-15,日証金,0.00,-,354600,354700
6,2023-08-14,日証金,-,-,347500,504900
7,2023-08-10,日証金,0.00,-,339400,341300
8,2023-08-09,日証金,0.00,-,342700,344600
9,2023-08-08,日証金,0.00,-,343300,343900
10,2023-08-07,日証金,-,-,346200,567800
11,2023-08-04,日証金,0.00,-,369000,358600
12,2023-08-03,日証金,-,-,357500,469200
13,2023-08-02,日証金,-,-,394100,1104100
14,2023-08-01,日証金,0.00,1,883300,343600
15,2023-07-31,日証金,-,-,339500,446700
16,2023-07-28,日証金,-,-,348900,636600
17,2023-07-27,日証金,-,-,455000,967700
18,2023-07-26,日証金,0.00,3,577400,467000
19,2023-07-25,日証金,0.00,1,1186500,300400
20,2023-07-24,日証金,0.00,-,482500,367200
