,日付,日証金,逆日歩,日歩日数,貸株残,融資残
0,2023-08-22,日証金,-,-,1000,3100
1,2023-08-21,日証金,-,-,1200,3100
2,2023-08-18,日証金,-,-,0,2100
3,2023-08-17,日証金,-,-,1000,2100
4,2023-08-16,日証金,-,-,700,2100
5,2023-08-15,日証金,-,-,1300,2200
6,2023-08-14,日証金,-,-,1300,200
7,2023-08-10,日証金,-,-,1300,1500
8,2023-08-09,日証金,-,-,1300,400
9,2023-08-08,日証金,-,-,1300,4400
10,2023-08-07,日証金,-,-,4500,6800
11,2023-08-04,日証金,-,-,4300,5500
12,2023-08-03,日証金,-,-,4000,6800
13,2023-08-02,日証金,-,-,4600,5900
14,2023-08-01,日証金,-,-,4900,4600
15,2023-07-31,日証金,-,-,6900,4400
16,2023-07-28,日証金,-,-,6800,2400
17,2023-07-27,日証金,-,-,5700,2700
18,2023-07-26,日証金,-,-,5200,3400
19,2023-07-25,日証金,-,-,5100,1600
20,2023-07-24,日証金,-,-,4800,1500
