,日付,信用売残,信用買残,信用倍率
0,2023-08-18,321500,721100,2.24
1,2023-08-10,386000,633800,1.64
2,2023-08-04,410500,634100,1.54
3,2023-07-28,493000,419000,0.85
4,2023-07-21,512100,494400,0.97
5,2023-07-14,527000,507800,0.96
6,2023-07-07,643800,448400,0.7
7,2023-06-30,694100,241000,0.35
8,2023-06-23,693800,250400,0.36
9,2023-06-16,762300,199500,0.26
10,2023-06-09,803600,230600,0.29
11,2023-06-02,801600,235900,0.29
12,2023-05-26,797400,178700,0.22
13,2023-05-19,816900,186100,0.23
14,2023-05-12,745100,171200,0.23
15,2023-04-28,745500,310900,0.42
16,2023-04-21,781500,284400,0.36
17,2023-04-14,819100,278600,0.34
18,2023-04-07,831800,287000,0.35
19,2023-03-31,869600,211300,0.24
20,2023-03-24,828600,243400,0.29
21,2023-03-17,800400,267200,0.33
22,2023-03-10,942400,257600,0.27
23,2023-03-03,952100,233000,0.24
24,2023-02-24,826600,227200,0.27
