,日付,日証金,逆日歩,日歩日数,貸株残,融資残
0,2023-08-22,日証金,0.05,1,45300,29500
1,2023-08-21,日証金,0.05,1,40900,22500
2,2023-08-18,日証金,-,-,31500,35000
3,2023-08-17,日証金,0.05,1,44900,24600
4,2023-08-16,日証金,0.15,3,47000,16700
5,2023-08-15,日証金,0.00,1,46000,15800
6,2023-08-14,日証金,0.00,1,46600,17100
7,2023-08-10,日証金,0.00,1,60200,16800
8,2023-08-09,日証金,0.00,1,42700,22300
9,2023-08-08,日証金,0.00,4,65300,22700
10,2023-08-07,日証金,0.00,1,58800,29400
11,2023-08-04,日証金,0.05,1,42500,20000
12,2023-08-03,日証金,0.00,1,37700,16900
13,2023-08-02,日証金,-,-,47200,102000
14,2023-08-01,日証金,0.00,1,92000,34700
15,2023-07-31,日証金,0.00,1,90500,38300
16,2023-07-28,日証金,-,-,21800,36500
17,2023-07-27,日証金,-,-,21400,31900
18,2023-07-26,日証金,-,-,21800,32200
19,2023-07-25,日証金,-,-,22300,30500
20,2023-07-24,日証金,-,-,13200,27900
