,日付,始値,高値,安値,終値,売買高,修正後終値
0,2023-08-23,3514,3562,3506,3558,369800,3558.0
1,2023-08-22,3517,3525,3481,3525,426300,3525.0
2,2023-08-21,3495,3543,3484,3517,472200,3517.0
3,2023-08-18,3500,3513,3469,3482,364100,3482.0
4,2023-08-17,3500,3520,3471,3512,403500,3512.0
5,2023-08-16,3470,3505,3446,3492,392100,3492.0
6,2023-08-15,3516,3529,3502,3513,483300,3513.0
7,2023-08-14,3561,3592,3507,3539,427700,3539.0
8,2023-08-10,3503,3575,3499,3575,404600,3575.0
9,2023-08-09,3495,3514,3461,3510,264300,3510.0
10,2023-08-08,3482,3514,3481,3505,303500,3505.0
11,2023-08-07,3410,3471,3400,3468,391700,3468.0
12,2023-08-04,3435,3440,3399,3406,360100,3406.0
13,2023-08-03,3467,3482,3425,3448,526300,3448.0
14,2023-08-02,3550,3558,3471,3475,642600,3475.0
15,2023-08-01,3531,3549,3515,3539,607800,3539.0
16,2023-07-31,3485,3533,3467,3523,908100,3523.0
17,2023-07-28,3462,3485,3360,3421,1344100,3421.0
18,2023-07-27,3493,3526,3460,3522,570200,3522.0
19,2023-07-26,3453,3484,3421,3481,380300,3481.0
20,2023-07-25,3445,3462,3432,3461,306400,3461.0
21,2023-07-24,3450,3495,3442,3451,550500,3451.0
22,2023-07-21,3422,3432,3384,3414,448200,3414.0
23,2023-07-20,3415,3449,3401,3437,410300,3437.0
24,2023-07-19,3371,3422,3357,3422,364700,3422.0
