,日付,日証金,逆日歩,日歩日数,貸株残,融資残
0,2023-08-22,日証金,0.05,1,16300,10200
1,2023-08-21,日証金,0.05,1,17200,11600
2,2023-08-18,日証金,0.0,1,16100,11700
3,2023-08-17,日証金,0.05,1,18500,11100
4,2023-08-16,日証金,0.0,3,18400,11100
5,2023-08-15,日証金,0.0,1,17700,8900
6,2023-08-14,日証金,0.05,1,19200,6600
7,2023-08-10,日証金,0.0,1,20600,14400
8,2023-08-09,日証金,0.0,1,18800,17200
9,2023-08-08,日証金,0.0,4,19000,16400
10,2023-08-07,日証金,0.0,1,18100,17900
11,2023-08-04,日証金,0.0,-,15000,15000
12,2023-08-03,日証金,0.0,1,14800,14200
13,2023-08-02,日証金,0.0,-,12300,12400
14,2023-08-01,日証金,0.0,1,15100,11900
15,2023-07-31,日証金,0.0,1,16500,12000
16,2023-07-28,日証金,0.0,-,10300,10400
17,2023-07-27,日証金,0.05,1,28000,22300
18,2023-07-26,日証金,0.15,3,25100,16300
19,2023-07-25,日証金,0.05,1,23300,15700
20,2023-07-24,日証金,0.05,1,19500,15300
