,日付,始値,高値,安値,終値,売買高,修正後終値
0,2023-08-10,4836,4844,4816,4836,2078300,4836.0
1,2023-08-09,4844,4861,4814,4831,1523800,4831.0
2,2023-08-08,4882,4888,4845,4854,1403900,4854.0
3,2023-08-07,4847,4862,4824,4845,1433000,4845.0
4,2023-08-04,4895,4900,4843,4859,2719600,4859.0
5,2023-08-03,4910,5004,4888,4965,3058300,4965.0
6,2023-08-02,5134,5182,5113,5162,1421300,5162.0
7,2023-08-01,5110,5152,5101,5140,1118900,5140.0
8,2023-07-31,5100,5145,5089,5136,1281800,5136.0
9,2023-07-28,5052,5077,5011,5077,2632900,5077.0
10,2023-07-27,5071,5094,5046,5088,748900,5088.0
11,2023-07-26,5100,5114,5070,5098,842500,5098.0
12,2023-07-25,5054,5080,5044,5080,727800,5080.0
13,2023-07-24,5079,5084,5049,5060,899700,5060.0
14,2023-07-21,5031,5064,5007,5064,1166900,5064.0
15,2023-07-20,5022,5031,4990,4997,883900,4997.0
16,2023-07-19,4985,5002,4963,5002,932800,5002.0
17,2023-07-18,4921,4959,4918,4959,824000,4959.0
18,2023-07-14,4893,4929,4880,4921,913200,4921.0
19,2023-07-13,4898,4904,4865,4893,1305100,4893.0
20,2023-07-12,4883,4898,4818,4880,1641700,4880.0
21,2023-07-11,4951,4955,4885,4897,1151100,4897.0
22,2023-07-10,4976,4980,4901,4918,1402900,4918.0
23,2023-07-07,4959,4987,4921,4959,1294900,4959.0
24,2023-07-06,5050,5054,4986,5002,1371600,5002.0
