,日付,日証金,逆日歩,日歩日数,貸株残,融資残
0,2023-08-09,日証金,-,-,4200,69200
1,2023-08-08,日証金,-,-,5000,65400
2,2023-08-07,日証金,-,-,5200,64800
3,2023-08-04,日証金,-,-,7400,60400
4,2023-08-03,日証金,-,-,13200,53000
5,2023-08-02,日証金,-,-,29900,49000
6,2023-08-01,日証金,-,-,23700,53700
7,2023-07-31,日証金,-,-,55400,56000
8,2023-07-28,日証金,-,-,46100,61600
9,2023-07-27,日証金,-,-,22800,62400
10,2023-07-26,日証金,-,-,19600,62800
11,2023-07-25,日証金,-,-,16600,65800
12,2023-07-24,日証金,-,-,16900,65500
13,2023-07-21,日証金,-,-,18100,69400
14,2023-07-20,日証金,-,-,11600,72300
15,2023-07-19,日証金,-,-,11800,73000
16,2023-07-18,日証金,-,-,12400,75600
17,2023-07-14,日証金,-,-,8600,75500
18,2023-07-13,日証金,-,-,7500,70500
19,2023-07-12,日証金,-,-,7000,70200
20,2023-07-11,日証金,-,-,7000,66100
