,日付,日証金,逆日歩,日歩日数,貸株残,融資残
0,2023-08-09,日証金,0.00,-,108900,83700
1,2023-08-08,日証金,0.00,-,129500,105300
2,2023-08-07,日証金,0.00,-,105300,78700
3,2023-08-04,日証金,0.00,-,108200,80900
4,2023-08-03,日証金,-,-,110300,138400
5,2023-08-02,日証金,-,-,178200,169700
6,2023-08-01,日証金,0.00,-,151900,142900
7,2023-07-31,日証金,0.00,-,161600,155600
8,2023-07-28,日証金,0.00,-,121800,114000
9,2023-07-27,日証金,0.00,-,139000,131300
10,2023-07-26,日証金,0.00,-,128300,119100
11,2023-07-25,日証金,0.00,-,141800,128900
12,2023-07-24,日証金,0.00,-,144800,131800
13,2023-07-21,日証金,0.00,-,149100,140000
14,2023-07-20,日証金,0.00,-,188100,177900
15,2023-07-19,日証金,0.00,-,140500,127400
16,2023-07-18,日証金,0.00,-,102700,98400
17,2023-07-14,日証金,0.00,-,107500,103600
18,2023-07-13,日証金,0.00,-,103400,101200
19,2023-07-12,日証金,0.00,-,114800,113000
20,2023-07-11,日証金,0.00,-,123000,119400
