,日付,始値,高値,安値,終値,売買高,修正後終値
0,2023-08-10,2313.5,2349.5,2292.0,2340.0,10851000,2340.0
1,2023-08-09,2370.0,2370.5,2310.5,2325.5,11031500,2325.5
2,2023-08-08,2408.0,2409.0,2376.0,2378.0,9518600,2378.0
3,2023-08-07,2391.0,2393.5,2365.5,2372.5,6867200,2372.5
4,2023-08-04,2380.5,2401.5,2371.5,2391.0,8516500,2391.0
5,2023-08-03,2397.0,2403.0,2360.0,2365.0,12208400,2365.0
6,2023-08-02,2406.0,2433.0,2380.0,2382.5,13351700,2382.5
7,2023-08-01,2415.0,2451.5,2391.0,2424.5,19229000,2424.5
8,2023-07-31,2415.0,2447.0,2366.0,2404.0,23270700,2404.0
9,2023-07-28,2300.0,2379.0,2262.5,2379.0,34779100,2379.0
10,2023-07-27,2255.0,2275.0,2240.5,2270.0,10899500,2270.0
11,2023-07-26,2241.0,2245.0,2227.0,2240.5,5428200,2240.5
12,2023-07-25,2230.0,2243.0,2224.5,2240.5,7135400,2240.5
13,2023-07-24,2208.0,2232.0,2175.0,2213.5,11198100,2213.5
14,2023-07-21,2285.0,2286.0,2234.5,2242.5,9443200,2242.5
15,2023-07-20,2275.0,2276.5,2243.0,2245.5,8673000,2245.5
16,2023-07-19,2294.0,2301.5,2250.0,2265.0,11704700,2265.0
17,2023-07-18,2213.5,2281.0,2210.5,2274.5,13265900,2274.5
18,2023-07-14,2223.5,2231.5,2188.5,2213.5,9465300,2213.5
19,2023-07-13,2250.0,2255.0,2222.0,2226.0,8874000,2226.0
20,2023-07-12,2240.0,2258.0,2214.5,2249.0,11325600,2249.0
21,2023-07-11,2239.5,2242.0,2204.5,2213.5,6953600,2213.5
22,2023-07-10,2235.0,2245.5,2209.0,2224.5,8941200,2224.5
23,2023-07-07,2231.0,2244.5,2210.0,2211.0,8350600,2211.0
24,2023-07-06,2275.0,2280.5,2233.0,2233.0,10811700,2233.0
