,日付,信用売残,信用買残,信用倍率
0,2023-08-04,921100,1899200,2.06
1,2023-07-28,1679700,1965800,1.17
2,2023-07-21,1356100,1822800,1.34
3,2023-07-14,1383000,2666000,1.93
4,2023-07-07,1544400,2806000,1.82
5,2023-06-30,1451500,2052800,1.41
6,2023-06-23,1439000,2220100,1.54
7,2023-06-16,1406900,2678500,1.9
8,2023-06-09,1225200,2873000,2.34
9,2023-06-02,1132100,3318200,2.93
10,2023-05-26,835400,3420300,4.09
11,2023-05-19,1113600,2950800,2.65
12,2023-05-12,1005400,3453800,3.44
13,2023-04-28,1038000,3312900,3.19
14,2023-04-21,1543200,3770500,2.44
15,2023-04-14,1447600,4531600,3.13
16,2023-04-07,758800,4616800,6.08
17,2023-03-31,3272800,4332800,1.32
18,2023-03-24,7651700,3767300,0.49
19,2023-03-17,18168300,3160400,0.17
20,2023-03-10,18757600,5937900,0.32
21,2023-03-03,18981600,5872100,0.31
22,2023-02-24,13456600,6508900,0.48
23,2023-02-17,3295700,1107900,0.34
