,日付,始値,高値,安値,終値,売買高,修正後終値
0,2023-08-10,1138.5,1149.5,1132.0,1143.5,9015900,1143.5
1,2023-08-09,1150.0,1150.0,1127.5,1132.0,8130700,1132.0
2,2023-08-08,1155.0,1158.0,1142.5,1143.0,8294500,1143.0
3,2023-08-07,1143.0,1155.0,1141.5,1147.5,6920400,1147.5
4,2023-08-04,1138.0,1149.0,1138.0,1144.0,6448000,1144.0
5,2023-08-03,1144.5,1144.5,1137.0,1139.5,6728100,1139.5
6,2023-08-02,1151.0,1153.0,1135.5,1140.0,10568000,1140.0
7,2023-08-01,1175.0,1176.5,1154.5,1158.5,12638200,1158.5
8,2023-07-31,1175.5,1190.0,1169.0,1183.0,23839800,1183.0
9,2023-07-28,1142.0,1170.0,1133.0,1169.5,42317500,1169.5
10,2023-07-27,1140.0,1141.5,1136.5,1141.5,11689400,1141.5
11,2023-07-26,1135.0,1140.0,1134.5,1140.0,11658000,1140.0
12,2023-07-25,1137.0,1137.5,1134.5,1137.0,7809600,1137.0
13,2023-07-24,1130.0,1136.5,1128.0,1136.5,9189400,1136.5
14,2023-07-21,1135.5,1136.0,1130.5,1134.0,7337800,1134.0
15,2023-07-20,1135.0,1135.5,1131.0,1133.0,6866100,1133.0
16,2023-07-19,1134.5,1136.0,1130.5,1133.0,8421400,1133.0
17,2023-07-18,1127.0,1135.0,1127.0,1131.5,7637500,1131.5
18,2023-07-14,1124.0,1132.5,1122.5,1130.5,7451300,1130.5
19,2023-07-13,1135.0,1136.0,1120.0,1123.5,7690500,1123.5
20,2023-07-12,1135.0,1137.5,1125.5,1135.5,8918800,1135.5
21,2023-07-11,1132.5,1136.0,1130.0,1133.5,9529800,1133.5
22,2023-07-10,1133.0,1138.0,1130.0,1131.0,16478700,1131.0
23,2023-07-07,1130.0,1132.0,1123.5,1127.5,10002600,1127.5
24,2023-07-06,1134.0,1134.0,1119.5,1126.0,6793600,1126.0
