,日付,日証金,逆日歩,日歩日数,貸株残,融資残
0,2023-08-09,日証金,-,-,11,15
1,2023-08-08,日証金,-,-,11,25
2,2023-08-07,日証金,-,-,5,26
3,2023-08-04,日証金,-,-,5,37
4,2023-08-03,日証金,-,-,20,26
5,2023-08-02,日証金,-,-,20,27
6,2023-08-01,日証金,5.00,1,93,48
7,2023-07-31,日証金,5.00,1,91,41
8,2023-07-28,日証金,5.00,1,99,41
9,2023-07-27,日証金,470.00,1,3893,23
10,2023-07-26,日証金,15.00,3,241,28
11,2023-07-25,日証金,5.00,1,124,30
12,2023-07-24,日証金,0.00,1,88,75
13,2023-07-21,日証金,0.00,-,84,84
14,2023-07-20,日証金,0.00,-,90,90
15,2023-07-19,日証金,0.00,-,85,85
16,2023-07-18,日証金,0.00,-,64,64
17,2023-07-14,日証金,0.00,-,79,79
18,2023-07-13,日証金,0.00,-,83,83
19,2023-07-12,日証金,0.00,-,83,83
20,2023-07-11,日証金,0.00,-,94,94
