,日付,日証金,逆日歩,日歩日数,貸株残,融資残
0,2023-08-09,日証金,0.05,1,685800,187500
1,2023-08-08,日証金,0.2,4,657400,180800
2,2023-08-07,日証金,0.05,1,655400,176700
3,2023-08-04,日証金,0.05,1,654600,178300
4,2023-08-03,日証金,0.05,1,656200,186900
5,2023-08-02,日証金,0.15,3,654400,175500
6,2023-08-01,日証金,0.05,1,655400,165700
7,2023-07-31,日証金,0.5,1,666200,157900
8,2023-07-28,日証金,0.5,1,674600,148100
9,2023-07-27,日証金,0.05,1,657300,145500
10,2023-07-26,日証金,0.3,3,658000,169700
11,2023-07-25,日証金,0.05,1,655100,176700
12,2023-07-24,日証金,0.05,1,657200,195900
13,2023-07-21,日証金,0.05,1,659400,188800
14,2023-07-20,日証金,0.05,1,657000,166300
15,2023-07-19,日証金,0.15,3,656200,174400
16,2023-07-18,日証金,0.05,1,657500,186900
17,2023-07-14,日証金,0.05,1,658500,181200
18,2023-07-13,日証金,0.1,1,652700,179900
19,2023-07-12,日証金,0.4,4,651800,161300
20,2023-07-11,日証金,0.1,1,655200,156700
