,日付,信用売残,信用買残,信用倍率
0,2023-08-04,6200,34500,5.56
1,2023-07-28,6200,36900,5.95
2,2023-07-21,4400,37000,8.41
3,2023-07-14,3200,34700,10.84
4,2023-07-07,4800,34900,7.27
5,2023-06-30,5700,28100,4.93
6,2023-06-23,4700,23100,4.91
7,2023-06-16,4400,22500,5.11
8,2023-06-09,5700,24100,4.23
9,2023-06-02,5700,25100,4.4
10,2023-05-26,7100,19900,2.8
11,2023-05-19,3600,20000,5.56
12,2023-05-12,3900,23400,6.0
13,2023-04-28,5700,21600,3.79
14,2023-04-21,4700,23900,5.09
15,2023-04-14,6200,26100,4.21
16,2023-04-07,6200,28100,4.53
17,2023-03-31,10700,17500,1.64
18,2023-03-24,285200,21000,0.07
19,2023-03-17,278100,22600,0.08
20,2023-03-10,277800,23500,0.08
21,2023-03-03,273400,26300,0.1
22,2023-02-24,271100,52000,0.19
23,2023-02-17,271100,28000,0.1
