,日付,始値,高値,安値,終値,売買高,修正後終値
0,2023-08-10,2406.5,2432.5,2395.0,2429.0,19458600,2429.0
1,2023-08-09,2423.0,2427.0,2384.0,2395.5,19106300,2395.5
2,2023-08-08,2463.5,2476.0,2420.5,2423.5,22190700,2423.5
3,2023-08-07,2431.5,2457.0,2424.0,2444.0,19853700,2444.0
4,2023-08-04,2407.0,2456.5,2401.5,2437.5,30038200,2437.5
5,2023-08-03,2476.0,2477.0,2401.0,2407.5,44187800,2407.5
6,2023-08-02,2438.5,2549.0,2418.5,2502.5,78801100,2502.5
7,2023-08-01,2398.0,2464.0,2387.0,2445.5,68906000,2445.5
8,2023-07-31,2350.0,2386.0,2348.5,2386.0,44133500,2386.0
9,2023-07-28,2288.5,2327.0,2263.5,2310.0,37405600,2310.0
10,2023-07-27,2315.0,2329.0,2303.5,2320.5,18487400,2320.5
11,2023-07-26,2318.0,2326.0,2305.5,2322.0,19436200,2322.0
12,2023-07-25,2316.5,2344.5,2311.5,2344.5,23265300,2344.5
13,2023-07-24,2317.0,2333.0,2307.5,2324.0,23557600,2324.0
14,2023-07-21,2289.0,2301.0,2277.0,2287.5,20284200,2287.5
15,2023-07-20,2291.5,2311.0,2275.0,2287.0,21073000,2287.0
16,2023-07-19,2266.5,2291.0,2265.0,2291.0,22597800,2291.0
17,2023-07-18,2214.0,2247.5,2212.0,2240.0,18107200,2240.0
18,2023-07-14,2219.5,2231.0,2197.0,2218.0,21578800,2218.0
19,2023-07-13,2192.5,2224.0,2180.0,2211.5,19826600,2211.5
20,2023-07-12,2210.0,2231.0,2189.0,2198.0,20500400,2198.0
21,2023-07-11,2256.0,2258.5,2204.0,2211.0,29078400,2211.0
22,2023-07-10,2270.0,2290.0,2255.0,2260.0,28824200,2260.0
23,2023-07-07,2323.5,2324.0,2292.0,2299.5,26236300,2299.5
24,2023-07-06,2350.0,2358.0,2317.0,2327.0,28608700,2327.0
