,日付,始値,高値,安値,終値,売買高,修正後終値
0,2023-08-10,680,682,677,682,132900,682.0
1,2023-08-09,682,682,677,679,108500,679.0
2,2023-08-08,679,682,677,680,149700,680.0
3,2023-08-07,669,678,668,678,271400,678.0
4,2023-08-04,666,669,663,669,185700,669.0
5,2023-08-03,674,674,665,665,456500,665.0
6,2023-08-02,682,683,673,676,422800,676.0
7,2023-08-01,691,691,677,677,977500,677.0
8,2023-07-31,710,715,706,714,336200,714.0
9,2023-07-28,698,705,697,705,217900,705.0
10,2023-07-27,700,703,698,702,116900,702.0
11,2023-07-26,703,703,699,701,186400,701.0
12,2023-07-25,704,706,702,705,94200,705.0
13,2023-07-24,705,706,702,703,55000,703.0
14,2023-07-21,703,703,697,700,146500,700.0
15,2023-07-20,700,704,699,700,139200,700.0
16,2023-07-19,694,698,693,698,175900,698.0
17,2023-07-18,695,696,690,692,167400,692.0
18,2023-07-14,699,701,691,694,124900,694.0
19,2023-07-13,700,701,694,698,86500,698.0
20,2023-07-12,702,702,697,699,122000,699.0
21,2023-07-11,700,704,698,699,131200,699.0
22,2023-07-10,698,701,695,697,192900,697.0
23,2023-07-07,698,698,691,696,174100,696.0
24,2023-07-06,705,705,700,700,98300,700.0
