,日付,日証金,逆日歩,日歩日数,貸株残,融資残
0,2023-08-09,日証金,-,-,43000,104500
1,2023-08-08,日証金,0.00,-,71100,71000
2,2023-08-07,日証金,-,-,37000,76100
3,2023-08-04,日証金,0.00,-,80800,80800
4,2023-08-03,日証金,-,-,51300,44000
5,2023-08-02,日証金,-,-,63300,427900
6,2023-08-01,日証金,0.00,-,67000,67800
7,2023-07-31,日証金,-,-,58500,111800
8,2023-07-28,日証金,-,-,33000,118000
9,2023-07-27,日証金,-,-,63000,112900
10,2023-07-26,日証金,0.00,-,91900,92800
11,2023-07-25,日証金,0.00,-,110600,110200
12,2023-07-24,日証金,0.00,-,71900,69100
13,2023-07-21,日証金,-,-,45700,41700
14,2023-07-20,日証金,0.00,-,39700,25500
15,2023-07-19,日証金,0.00,-,69000,44100
16,2023-07-18,日証金,-,-,24500,27600
17,2023-07-14,日証金,-,-,29900,24300
18,2023-07-13,日証金,-,-,26900,33600
19,2023-07-12,日証金,-,-,47400,18400
20,2023-07-11,日証金,-,-,25300,19200
