,日付,日証金,逆日歩,日歩日数,貸株残,融資残
0,2023-08-09,日証金,0.00,-,342700,344600
1,2023-08-08,日証金,0.00,-,343300,343900
2,2023-08-07,日証金,-,-,346200,567800
3,2023-08-04,日証金,0.00,-,369000,358600
4,2023-08-03,日証金,-,-,357500,469200
5,2023-08-02,日証金,-,-,394100,1104100
6,2023-08-01,日証金,0.00,1,883300,343600
7,2023-07-31,日証金,-,-,339500,446700
8,2023-07-28,日証金,-,-,348900,636600
9,2023-07-27,日証金,-,-,455000,967700
10,2023-07-26,日証金,0.00,3,577400,467000
11,2023-07-25,日証金,0.00,1,1186500,300400
12,2023-07-24,日証金,0.00,-,482500,367200
13,2023-07-21,日証金,-,-,213100,322600
14,2023-07-20,日証金,-,-,169600,382600
15,2023-07-19,日証金,-,-,169100,388900
16,2023-07-18,日証金,-,-,157100,434400
17,2023-07-14,日証金,-,-,151500,460400
18,2023-07-13,日証金,-,-,122500,461000
19,2023-07-12,日証金,-,-,156500,585400
20,2023-07-11,日証金,-,-,157900,324400
