,日付,信用売残,信用買残,信用倍率
0,2023-08-04,10500,111500,10.62
1,2023-07-28,11200,134500,12.01
2,2023-07-21,10700,123800,11.57
3,2023-07-14,10100,126300,12.5
4,2023-07-07,10100,138800,13.74
5,2023-06-30,11200,135600,12.11
6,2023-06-23,10500,121500,11.57
7,2023-06-16,10500,125200,11.92
8,2023-06-09,13900,130200,9.37
9,2023-06-02,14600,126200,8.64
10,2023-05-26,14900,126400,8.48
11,2023-05-19,12700,157500,12.4
12,2023-05-12,3400,203700,59.91
13,2023-04-28,400,150200,375.5
14,2023-04-21,300,158900,529.67
15,2023-04-14,100,152300,1523.0
16,2023-04-07,200,154400,772.0
17,2023-03-31,2600,150100,57.73
18,2023-03-24,300,151500,505.0
19,2023-03-17,300,158600,528.67
20,2023-03-10,1200,153500,127.92
21,2023-03-03,1600,150300,93.94
22,2023-02-24,3000,135600,45.2
23,2023-02-17,1400,146400,104.57
