,日付,日証金,逆日歩,日歩日数,貸株残,融資残
0,2023-08-09,日証金,-,-,17300,41900
1,2023-08-08,日証金,-,-,18200,47700
2,2023-08-07,日証金,-,-,26300,46900
3,2023-08-04,日証金,-,-,27500,47200
4,2023-08-03,日証金,-,-,13200,59200
5,2023-08-02,日証金,-,-,38300,167600
6,2023-08-01,日証金,0.10,1,84200,43000
7,2023-07-31,日証金,-,-,81400,111100
8,2023-07-28,日証金,0.10,1,104500,68700
9,2023-07-27,日証金,0.10,1,119600,61100
10,2023-07-26,日証金,0.45,3,128400,57800
11,2023-07-25,日証金,0.15,1,156000,51900
12,2023-07-24,日証金,0.10,1,113600,82800
13,2023-07-21,日証金,0.00,1,119600,100500
14,2023-07-20,日証金,0.10,1,135600,95900
15,2023-07-19,日証金,0.45,3,173000,60300
16,2023-07-18,日証金,0.10,1,133200,75700
17,2023-07-14,日証金,0.10,1,120800,87100
18,2023-07-13,日証金,0.10,1,120100,50100
19,2023-07-12,日証金,0.00,4,119400,121900
20,2023-07-11,日証金,0.10,1,141900,34500
