,日付,信用売残,信用買残,信用倍率
0,2023-08-04,302000,1893700,6.27
1,2023-07-28,489700,1950900,3.98
2,2023-07-21,505700,1979900,3.92
3,2023-07-14,510300,1999400,3.92
4,2023-07-07,515000,2062100,4.0
5,2023-06-30,455000,2076600,4.56
6,2023-06-23,433500,2047700,4.72
7,2023-06-16,421000,2098000,4.98
8,2023-06-09,440900,2188000,4.96
9,2023-06-02,422400,2227100,5.27
10,2023-05-26,430500,2235900,5.19
11,2023-05-19,423700,2283300,5.39
12,2023-05-12,420900,2554200,6.07
13,2023-04-28,414200,2882500,6.96
14,2023-04-21,415500,3053400,7.35
15,2023-04-14,414300,3078600,7.43
16,2023-04-07,414700,2994800,7.22
17,2023-03-31,378900,2986000,7.88
18,2023-03-24,137100,2834800,20.68
19,2023-03-17,137300,2857100,20.81
20,2023-03-10,149800,2644700,17.65
21,2023-03-03,137500,2701500,19.65
22,2023-02-24,147500,2537200,17.2
23,2023-02-17,143100,1688200,11.8
