,日付,日証金,逆日歩,日歩日数,貸株残,融資残
0,2023-08-09,日証金,-,-,5400,4800
1,2023-08-08,日証金,-,-,6300,4700
2,2023-08-07,日証金,-,-,6300,1800
3,2023-08-04,日証金,-,-,6100,3400
4,2023-08-03,日証金,-,-,5900,1800
5,2023-08-02,日証金,-,-,7900,1900
6,2023-08-01,日証金,-,-,6400,2100
7,2023-07-31,日証金,-,-,7300,23200
8,2023-07-28,日証金,-,-,6000,22100
9,2023-07-27,日証金,-,-,6200,22100
10,2023-07-26,日証金,-,-,6500,22100
11,2023-07-25,日証金,-,-,5800,22400
12,2023-07-24,日証金,-,-,6000,36800
13,2023-07-21,日証金,-,-,4000,26900
14,2023-07-20,日証金,-,-,5100,15400
15,2023-07-19,日証金,-,-,5400,15100
16,2023-07-18,日証金,-,-,4700,23400
17,2023-07-14,日証金,-,-,4200,23100
18,2023-07-13,日証金,-,-,4700,23100
19,2023-07-12,日証金,-,-,3700,32900
20,2023-07-11,日証金,-,-,3700,71100
